,ISO3,FBS Code2,EnergyI-BaU_high,EnergyI-HalfW_high
651,HRV,1053.0,5.122685329142852e-09,4.530793132148652e-09
652,HRV,2511.0,7.019953229190503e-10,5.762517669187126e-10
653,HRV,2514.0,3.1984273058614273e-10,2.625515193890032e-10
654,HRV,2555.0,5.46363352452631e-10,4.91677841960141e-10
655,HRV,2731.0,1.0066081260407531e-08,8.903012563126903e-09
656,HRV,2735.0,1.1848738089466565e-08,1.0479695259627805e-08
657,HRV,2903.0,4.230113819776052e-08,3.806721707846572e-08
658,HRV,2905.0,8.181390772208834e-10,6.715914956147712e-10
659,HRV,2907.0,1.2228393450366056e-09,8.849584784273968e-10
661,HRV,2913.0,6.539869353510793e-10,5.885293799448653e-10
662,HRV,2918.0,3.2624174699727083e-10,2.532228048595108e-10
663,HRV,2919.0,1.2013612521859845e-09,9.32474365184827e-10
665,HUN,960.0,1.535215095315157e-09,1.4380744234856984e-09
666,HUN,976.0,2.272876860347769e-07,2.0102610657146015e-07
667,HUN,1016.0,1.273527964818984e-07,1.126380284140267e-07
668,HUN,1049.0,1.613065890508072e-09,1.426686862228195e-09
669,HUN,1052.0,9.4266480309284e-09,8.3374615877215e-09
670,HUN,1053.0,2.880357637859054e-09,2.547551482325256e-09
671,HUN,2511.0,4.941826244879405e-10,4.056631166110215e-10
672,HUN,2514.0,4.5361560087785005e-10,3.723625827317617e-10
673,HUN,2555.0,6.078046278182874e-10,5.46969459788194e-10
674,HUN,2731.0,2.5033560838143472e-08,2.2141099488081204e-08
675,HUN,2735.0,9.036252892278785e-09,7.992174009162806e-09
676,HUN,2805.0,5.5923157149527755e-09,4.5906029665676695e-09
677,HUN,2903.0,1.4342456130376936e-08,1.2906919629466022e-08
678,HUN,2905.0,4.6032745972852316e-10,3.7787219283276143e-10
679,HUN,2907.0,1.4922041041425885e-09,1.0798954734856128e-09
681,HUN,2913.0,2.1719561204085296e-10,1.954565022197699e-10
682,HUN,2918.0,1.2319480438689246e-09,9.562152666877619e-10
683,HUN,2919.0,1.234064517540916e-09,9.578580343732766e-10
685,IRL,960.0,2.6038087812448653e-09,2.439052888016988e-09
686,IRL,976.0,2.5291947974149513e-08,2.2369631710154586e-08
687,IRL,1049.0,1.2156155871258633e-09,1.0751592962678198e-09
688,IRL,1052.0,7.012710817913222e-09,6.2024387542972884e-09
689,IRL,1053.0,2.021950487099985e-09,1.7883275649160546e-09
