,ISO3,FBS Code2,EnergyI-BaU_low,EnergyI-HalfW_low,ProteinI-BaU_low,ProteinI-HalfW_low,IronI-BaU_low,IronI-HalfW_low,ZincI-BaU_low,ZincI-HalfW_low,Vitamin AI-BaU_low,Vitamin AI-HalfW_low,Vitamin BI-BaU_low,Vitamin BI-HalfW_low,FolateI-BaU_low,FolateI-HalfW_low
1548,GMB,960.0,1.670243121662673e-09,1.445389678343916e-09,3.2344389630737046e-08,2.799008498718615e-08,3.3961610899575512e-06,2.938959078323484e-06,2.7536440299563046e-07,2.3829397092622886e-07,2.214887617857023e-09,1.916712399543019e-09,2.2641074026766536e-07,1.9593060603256382e-07,2.0376966084284612e-08,1.763375407579578e-08
1549,GMB,976.0,7.738436372681027e-09,6.546008248917575e-09,1.0815966351676827e-07,9.149316676950576e-08,7.309931874266148e-07,6.183532698789058e-07,5.309893044630205e-07,4.4916830735634855e-07,1.4578455510643955e-09,1.2332037821755805e-09,1.0639862932373606e-07,9.000349317150202e-08,3.426071087154764e-08,2.8981422754947448e-08
1550,GMB,1016.0,2.6035233479290416e-08,2.2023422421561466e-08,2.0063845579726127e-07,1.6972175300627667e-07,1.1040735826269658e-06,9.33945106120213e-07,9.9111633238275e-07,8.383936204888197e-07,inf,inf,2.6332354804837664e-06,2.227475984352799e-06,7.732052453611593e-07,6.540608038219138e-07
1551,GMB,1049.0,9.002238370302778e-10,7.615068961316291e-10,1.820812051359263e-08,1.5402401898662692e-08,6.439248151934225e-08,5.4470140335062413e-08,1.1215903280303819e-07,9.487626680129169e-08,9.12226821524015e-08,7.716603214133841e-08,4.718414729860494e-07,3.991346604918854e-07,9.12226821524015e-08,7.716603214133841e-08
1552,GMB,1052.0,1.0264810120549556e-09,8.683088997139409e-10,1.1686845527059167e-08,9.886000677608484e-09,8.387816269934781e-08,7.095324151948203e-08,1.1378820857715842e-07,9.625440025651746e-08,9.174174045241166e-10,7.760510791193346e-10,1.6492897425077143e-07,1.3951480298299866e-07,3.123123079231035e-09,2.641876014023267e-09
1553,GMB,1053.0,1.3533925131982248e-09,1.1448460811404858e-09,1.109719744614698e-08,9.387212419138598e-09,2.3601845253107522e-07,1.99649989062314e-07,1.3165654804123952e-07,1.1136937851482041e-07,inf,inf,3.455984438631702e-07,2.9234462304658144e-07,1.9353512938734617e-07,1.6371298960308946e-07
1554,GMB,2731.0,2.8968488936476124e-08,2.4504687821210644e-08,4.953153595302789e-07,4.1899141805277304e-07,3.1902771183013586e-06,2.6986821790586676e-06,2.335093704447616e-06,1.9752753547566907e-06,inf,inf,3.1505083519785836e-06,2.6650414459879413e-06,1.2654462919275245e-06,1.0704516347467007e-06
1555,GMB,2735.0,1.3318055553008156e-08,1.1265854923522472e-08,8.625818549317613e-08,7.296652276787644e-08,5.499495765790816e-07,4.6520696060568166e-07,7.481547173238703e-07,6.328703519948836e-07,inf,inf,4.7492958869757215e-07,4.0174692347987155e-07,3.158281745427649e-07,2.6716170247210435e-07
1556,MLI,960.0,1.0278913283723418e-08,8.89513327263177e-09,1.9905196549969958e-07,1.7225495657238895e-07,2.0900457477399245e-05,1.8086771391955445e-05,1.694631627639176e-06,1.4664949260479601e-06,1.3630732832763662e-08,1.1795720209359523e-08,1.393363837594044e-06,1.2057847644546944e-06,1.254027420614257e-07,1.0852062592610761e-07
1557,MLI,976.0,4.936504567191829e-09,4.175830627972391e-09,7.988612053771931e-08,6.757633956390086e-08,1.0470342212504889e-06,8.856950318026739e-07,5.949690495637677e-07,5.032893104922877e-07,1.731295200819529e-09,1.4645171349970842e-09,1.2936959452637537e-07,1.0943482535030232e-07,3.469722966676638e-08,2.9350677665977943e-08
