,ISO3,Supply-BaU2,Energy-mod (kcal/year),EnM2030,BaU_needed2030
118,PRY,5857191799971.822,5660357386660.967,6850904413081.053,993712613109.2305
119,QAT,117594225558.21257,2158503987958.941,2934445050865.396,2816850825307.1836
120,ROU,21538097170354.016,17969578481771.516,16458759567519.041,-5079337602834.975
121,RUS,182399295454474.34,129341351633899.72,124558016774183.62,-57841278680290.72
122,RWA,7056147336712.431,9029078424481.42,13055971267390.152,5999823930677.722
123,SAU,28471415601078.992,25902037480365.375,33694023710696.76,5222608109617.77
124,SEN,14664930930249.174,11430923887722.86,17746781699655.36,3081850769406.1855
125,SGP,4788065178732.489,4640031936954.109,5281321151598.401,493255972865.9121
126,SLB,1283951381290.144,496260099087.60236,684017975046.9629,-599933406243.1812
127,SLE,7041003835301.452,5612183922675.88,7878813905379.6045,837810070078.1523
128,SLV,3890219718189.3003,5405487334522.781,5895009156172.8,2004789437983.4995
129,STP,147585566728.77774,150340038654.01587,215344735281.1754,67759168552.397675
130,SUR,691690825394.343,479432267065.11993,543071691492.0944,-148619133902.2486
131,SVK,7491653135332.531,4949271132279.73,4834030840890.378,-2657622294442.1533
132,SVN,1812174120746.5337,1850061785662.697,1800401894867.6572,-11772225878.876465
133,SWE,11780285909003.982,8525807576379.73,9342758157737.14,-2437527751266.842
134,SWZ,971466608885.3467,1046576863158.534,1372077307547.5544,400610698662.20776
135,SYC,77425551452.6124,78723507846.5874,82357783457.95126,4932232005.338867
136,SYR,20434248581867.613,15472826375170.998,21781541008530.184,1347292426662.5703
137,TGO,6241287691499.575,5738250632553.8,8497512304693.222,2256224613193.6465
138,THA,104727634956093.47,57752789909776.086,58040623045425.83,-46687011910667.64
139,TON,260594965054.28427,91755676477.10834,107068282536.89304,-153526682517.39124
140,TTO,1302130061057.1807,1208127560980.7725,1228168714973.4531,-73961346083.72754
141,TUN,13535120061804.965,9374761107089.867,10824986363866.676,-2710133697938.289
142,TUR,119329542575465.08,63719119915555.08,73608007840859.97,-45721534734605.11
143,TZA,55077867534720.94,40647119310071.016,66196533357461.96,11118665822741.023
144,UGA,22903651372278.516,29852234520961.215,50052775886083.234,27149124513804.72
