,ISO3,FBS Code2,EnergyI-BaU,EnergyI-HalfW
1548,GMB,960.0,2.3889773598617835e-09,2.0673656265706807e-09
1549,GMB,976.0,1.1068729570151955e-08,9.363131204004432e-09
1550,GMB,1016.0,3.7206305781579744e-08,3.147312620128069e-08
1551,GMB,1049.0,1.4631230215080582e-09,1.2376680386989777e-09
1552,GMB,1052.0,1.4776045262220067e-09,1.2499180650284444e-09
1553,GMB,1053.0,1.9530935790519287e-09,1.65213824391147e-09
1554,GMB,2731.0,4.141852312576262e-08,3.5036276190934453e-08
1555,GMB,2735.0,1.9030530952680762e-08,1.609808578866303e-08
1556,MLI,960.0,1.4701999268871034e-08,1.2722769349346093e-08
1557,MLI,976.0,7.060467499942847e-09,5.97250869167874e-09
1558,MLI,1016.0,8.244495776585614e-09,6.974088144243258e-09
1559,MLI,1049.0,7.668584032823697e-09,6.486919568609171e-09
1560,MLI,1052.0,2.2505113962083802e-09,1.9037264706176196e-09
1561,MLI,1053.0,2.155144722470255e-09,1.8230550012280855e-09
1562,MLI,2731.0,2.73907917423344e-08,2.317010052866594e-08
1563,MLI,2735.0,1.1047660586404837e-08,9.345308773895445e-09
1564,NER,960.0,1.4240052532906306e-08,1.232301135277167e-08
1565,NER,976.0,9.345939458437033e-09,7.905808595233999e-09
1566,NER,1016.0,1.1284889718077795e-08,9.545982886600817e-09
1567,NER,1049.0,7.579146707382647e-09,6.411263784688137e-09
1568,NER,1052.0,3.446640200644875e-09,2.91554186115969e-09
1569,NER,1053.0,3.1795505447733497e-09,2.689608480521215e-09
1570,NER,2731.0,2.9504520221548956e-08,2.49581211822643e-08
1571,NER,2735.0,2.5824227222762465e-08,2.18449304589369e-08
1572,NGA,960.0,1.5222239934116162e-08,1.3172973560965022e-08
1573,NGA,976.0,2.097499471682019e-08,1.7742923999740567e-08
1574,NGA,1016.0,3.208504702216971e-08,2.714101045212386e-08
1575,NGA,1049.0,2.159704135050018e-09,1.8269118465802956e-09
1576,NGA,1052.0,1.019318862753132e-09,8.622503775329961e-10
1577,NGA,1053.0,6.642735818962032e-10,5.619145958195768e-10
1578,NGA,2731.0,2.1200767384690774e-08,1.793390699360202e-08
1579,NGA,2735.0,5.11174711349312e-09,4.324069768078176e-09
1580,SEN,960.0,1.6802741908330007e-08,1.4540703330662732e-08
1581,SEN,976.0,1.4533562954840651e-08,1.2294062832177696e-08
1582,SEN,1016.0,2.56358598303443e-08,2.1685588901390536e-08
1583,SEN,1049.0,2.3176608701799775e-09,1.96052877399771e-09
1584,SEN,1052.0,1.1882826509817711e-09,1.005178263509765e-09
1585,SEN,1053.0,2.2245942647847216e-09,1.881802951715729e-09
1586,SEN,2731.0,1.8316019126913355e-08,1.5493674240881296e-08
1587,SEN,2735.0,5.2182060097007576e-08,4.414124241512377e-08
1588,TGO,960.0,2.6411060795948938e-09,2.285551975845109e-09
1589,TGO,976.0,3.3525986302699526e-08,2.8359913078219842e-08
1590,TGO,1016.0,5.7409715167604336e-08,4.856335969652054e-08
1591,TGO,1049.0,3.493568878984669e-09,2.955239223873375e-09
1592,TGO,1052.0,1.9701037107129844e-09,1.6665272569892975e-09
1593,TGO,1053.0,2.5619690845961464e-09,2.1671911421852118e-09
1594,TGO,2731.0,1.7755633526272445e-08,1.5019639359969156e-08
1595,TGO,2735.0,3.841987512921372e-10,3.249969469363017e-10
