,ISO3,Supply-BaU2,Folate (ug DFE/day),Ft2030,BaU_needed2030
28,CHL,687551791021.1229,2366058482428.4595,2638443119988.3984,1950891328967.2754
29,CIV,2593096233950.7324,2816671460012.2944,4195712849906.6685,1602616615955.936
30,CMR,5386398232236.201,2766555437876.446,4170671970861.4897,-1215726261374.7114
31,COD,8007940619554.638,9022314596040.506,14947409426167.098,6939468806612.46
32,COG,474418975488.5791,606447685758.0944,925965645297.882,451546669809.30286
33,COL,5006854034536.79,6412939746142.029,7197996360998.442,2191142326461.6523
34,COM,35694517905.27649,95847702520.61177,136272339006.94681,100577821101.67032
35,CPR,272957835851036.0,190123572205781.38,198236706389529.6,-74721129461506.4
36,CPV,47599933410.26197,68654072411.51694,83911528158.41837,36311594748.156395
37,CRI,703999167764.523,638968933069.293,730932050367.6758,26932882603.152832
38,CUB,1140828429391.008,1545647530680.4197,1536658646123.8267,395830216732.8186
39,CYP,126465142575.44646,156305306449.9658,173814694915.88513,47349552340.438675
40,CZE,1184530013168.0728,1432309546634.8035,1421599936118.045,237069922949.97217
41,DEU,10749283790617.217,10909640854860.613,10849233857232.941,99950066615.72461
42,DJI,15472229084.181608,119619749745.19225,150788135741.0639,135315906656.8823
43,DNK,939926264404.0101,761760061247.1615,804949964961.8761,-134976299442.13403
44,DZA,6446364815926.459,5101902030362.511,6505537995032.906,59173179106.447266
45,ECU,736461369847.754,2085841933587.4192,2591561593476.9604,1855100223629.2065
46,EGY,12889069191031.814,11861358850197.623,15758965422414.764,2869896231382.949
47,ESP,8722172474573.236,6156780662059.861,6038643736882.437,-2683528737690.8
48,EST,165870156896.45642,175408033248.29675,166158829024.3258,288672127.86938477
49,ETH,16638840479805.805,12262735303154.959,17922191145626.07,1283350665820.2656
50,FIN,588007357251.269,728021635346.8632,758300820959.7457,170293463708.47668
51,FJI,60220150085.737045,117488205099.22176,130568760280.45934,70348610194.72229
52,FRA,8848787416473.492,8413527276788.945,8802160224705.787,-46627191767.70508
53,GAB,128832305948.7195,238918215749.78152,336439364708.6688,207607058759.94934
54,GBR,6797020488907.687,8604546936433.942,9296373793848.146,2499353304940.46
55,GEO,389391284357.9685,534406591279.19104,502086650723.599,112695366365.6305
56,GHA,5354664249109.326,3419294447831.396,4814439485786.867,-540224763322.459
57,GIN,1608578646365.5127,1476158742945.3027,2230993177108.8506,622414530743.3379
58,GMB,326682970741.4432,235967184399.84525,376018689104.12933,49335718362.68616
59,GRC,2022950009431.812,1494483663998.7698,1420587162442.089,-602362846989.7229
60,GRD,7406550675.279015,13996178055.40017,14918358762.038504,7511808086.759489
61,GTM,1890768151875.4358,2043883050936.032,2768197347747.0454,877429195871.6096
62,GUY,108825633723.99417,101180546475.18878,110488550329.99655,1662916606.0023804
63,HND,675308544751.2074,1146563944287.9182,1475191766768.2605,799883222017.0531
64,HRV,612786394088.9353,571672804227.1987,519610389686.9107,-93176004402.0246
65,HUN,2348644016980.803,1330974259031.629,1247327557642.6484,-1101316459338.1548
66,IDN,20462663075237.19,33911081982681.72,39865406238706.72,19402743163469.527
67,IND,162836027956601.06,171444638613185.6,203177020885273.25,40340992928672.19
68,IRL,835688098479.7543,623765238838.2365,699985712875.8254,-135702385603.92883
69,IRN,11848476878397.686,10501061162205.592,12153777978207.066,305301099809.38086
70,ISL,77897483819.90881,43589715270.33293,48302851957.49943,-29594631862.409386
71,ISR,1400711253815.5254,1028766971643.7217,1302227715336.8557,-98483538478.66968
72,ITA,9816678737588.193,7885094921358.049,7591238273195.571,-2225440464392.622
73,JAM,302207789607.3004,381524685164.5668,389462330909.0891,87254541301.7887
74,JOR,921567466305.1942,1126598191006.7283,1462003706745.639,540436240440.4447
75,JPN,10650254481608.982,16895712628880.074,15840401739838.812,5190147258229.83
76,KAZ,4238119826723.391,2295277596692.975,2716239382959.422,-1521880443763.9692
77,KEN,6117444315226.517,5783266649750.998,8592081675776.589,2474637360550.0723
78,KGZ,784661380421.4292,746909254538.5261,920938393554.3783,136277013132.9491
79,KHM,2330866365010.5107,1995618091618.8628,2500782983115.5654,169916618105.0547
80,KIR,10625362484.774773,14198636537.998253,18497405463.35978,7872042978.585007
