,ISO3,FBS Code2,EnergyI-BaU_high,EnergyI-HalfW_high,ProteinI-BaU_high,ProteinI-HalfW_high,IronI-BaU_high,IronI-HalfW_high,ZincI-BaU_high,ZincI-HalfW_high,Vitamin AI-BaU_high,Vitamin AI-HalfW_high,Vitamin BI-BaU_high,Vitamin BI-HalfW_high,FolateI-BaU_high,FolateI-HalfW_high
306,MYS,2805.0,1.555501036257745e-09,1.393509245385645e-09,7.897494615530693e-08,7.075039813925147e-08,7.038642084182357e-07,6.305629241408846e-07,4.85423613213849e-07,4.3487100115947344e-07,inf,inf,inf,inf,6.256570834725599e-08,5.605003853662262e-08
307,MYS,2903.0,1.7991430043825088e-08,1.5360301576632925e-08,4.607235647620182e-07,3.9334576967853895e-07,4.6288453960959895e-07,3.951907161490254e-07,2.499513936807839e-06,2.1339764416082393e-06,5.12398071236163e-07,4.3746321900486184e-07,inf,inf,3.15097196230998e-07,2.6901630099830587e-07
308,MYS,2907.0,1.8677038365734814e-10,1.4270435582941847e-10,1.7552925572675423e-08,1.3411542492549906e-08,5.583452125475322e-08,4.266109665074863e-08,7.815430724593103e-08,5.971482122822232e-08,1.231631593137731e-10,9.410442366511968e-11,inf,inf,1.151458021468841e-09,8.797865700152341e-10
309,MYS,2908.0,1.5407661314142317e-09,1.3154392052180066e-09,4.879092858534623e-06,4.165557576297821e-06,8.246354192002318e-07,7.04037905760362e-07,1.9516371434138496e-05,1.6662230305191287e-05,inf,inf,inf,inf,5.854911299374082e-07,4.998668979828426e-07
310,MYS,2913.0,5.882566411257252e-11,5.022279713251299e-11,7.274448762336552e-07,6.210608413065172e-07,1.0626956886043985e-06,9.072834244631684e-07,3.0470229402083743e-06,2.601415849574609e-06,inf,inf,inf,inf,6.465805826074972e-08,5.520224194660315e-08
311,MYS,2918.0,9.345692216314277e-10,6.493710610932406e-10,1.805523540662155e-08,1.2545402847548484e-08,4.2042336865409315e-08,2.921247165990795e-08,8.846960109883741e-08,6.147174271346223e-08,4.1258521381840207e-10,2.866784951690813e-10,inf,inf,5.259654966522226e-10,3.6545904225613927e-10
312,MYS,2919.0,9.004894387834403e-10,6.25691247722977e-10,7.086338262323395e-08,4.923833237989259e-08,2.0561954427246882e-07,1.4287158035510416e-07,5.41105485140426e-07,3.7597883058424383e-07,6.341789398118032e-09,4.406494902000831e-09,inf,inf,3.2120949505043942e-09,2.2318748125474716e-09
313,MYS,2960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,PHL,946.0,1.4087777769225312e-07,1.2586826584588795e-07,6.840068861705607e-07,6.111308823809513e-07,8.662670725225199e-06,7.739725595046739e-06,7.226373249000734e-06,6.456455262900238e-06,inf,inf,8.401747151790134e-06,7.50660154777275e-06,1.7433624989416326e-06,1.5576197898428635e-06
315,PHL,960.0,6.302691614783287e-08,5.6010526946694426e-08,1.2205211963872489e-06,1.0846482667645208e-06,0.000128154732365075,0.0001138880740038755,1.0390923879648702e-05,9.234167837071396e-06,8.357917141343054e-08,7.427482921192088e-08,8.543648859702304e-06,7.592538298352154e-06,7.68928377003561e-07,6.83328428749672e-07
