,ISO3,FBS Code2,EnergyI-BaU_low,EnergyI-HalfW_low,ProteinI-BaU_low,ProteinI-HalfW_low,IronI-BaU_low,IronI-HalfW_low,ZincI-BaU_low,ZincI-HalfW_low,Vitamin AI-BaU_low,Vitamin AI-HalfW_low,Vitamin BI-BaU_low,Vitamin BI-HalfW_low,FolateI-BaU_low,FolateI-HalfW_low
630,GRC,1052.0,2.3063494419417937e-09,2.0398661132740753e-09,2.625859547604549e-08,2.3224589526494196e-08,1.8846169725581514e-07,1.6668620239896727e-07,2.5566510073684193e-07,2.261246998636942e-07,2.061299813735478e-09,1.8231303387387048e-09,3.705707589873412e-07,3.27753774030054e-07,7.017190855269713e-09,6.206401153153036e-09
631,GRC,1053.0,1.4779999080825534e-09,1.307226855173097e-09,1.2109397462221206e-08,1.0710237176615807e-08,2.5696416207076293e-07,2.2727366330606786e-07,1.4371708574851712e-07,1.2711153296444106e-07,9.72995701625647e-07,8.605725238394213e-07,3.7335954601977213e-07,3.302203352809824e-07,1.959885720142107e-07,1.7334339687231738e-07
632,GRC,2511.0,4.11632608053965e-11,3.378997123885513e-11,1.1529843081793451e-09,9.464582214809325e-10,3.873509154902192e-09,3.179674310943509e-09,4.513811000512812e-09,3.7052833254881558e-09,inf,inf,inf,inf,3.363339602392153e-10,2.760887893906456e-10
633,GRC,2514.0,2.340232776512138e-11,1.921043101624357e-11,9.067780854657777e-10,7.443532127536371e-10,3.1519739904173577e-09,2.587382738829551e-09,3.8650902655329465e-09,3.1727634388676846e-09,1.5530635698671463e-09,1.2748740583507099e-09,inf,inf,8.991420667651896e-10,7.380849811504108e-10
634,GRC,2555.0,2.5006367706245546e-11,2.25034802460228e-11,2.8385607003547065e-10,2.554449146631353e-10,1.0354749583643352e-09,9.318342649573722e-10,3.7130666842500325e-09,3.341425822524274e-09,4.084373392020108e-10,3.6755684401837244e-10,inf,inf,2.227840032010967e-11,2.0048555128274853e-11
635,GRC,2731.0,4.96125523577512e-09,4.388015211710776e-09,8.392131037788668e-08,7.422476148162433e-08,6.730593658350521e-07,5.952918354959808e-07,4.026526752716188e-07,3.5612883840108653e-07,inf,inf,5.402734201120333e-07,4.778484220766398e-07,2.101874116534699e-07,1.8590165508818948e-07
636,GRC,2735.0,1.6437514208472759e-09,1.4538268837567995e-09,8.936420881149192e-09,7.903876922511531e-09,5.830319174340395e-08,5.15666459601884e-08,1.5419961946906304e-08,1.3638287967753559e-08,9.50845069581336e-11,8.409812499096779e-11,2.9679519154626136e-08,2.6250248241141684e-08,4.850792028891496e-09,4.290315293221506e-09
637,GRC,2805.0,5.310131853642689e-10,4.358964744250576e-10,2.6960276299650293e-08,2.213106889329187e-08,2.4028346279682903e-07,1.9724315173818657e-07,1.6571274020096964e-07,1.3602976576065015e-07,inf,inf,inf,inf,2.1358530344651706e-08,1.7532724860207877e-08
638,GRC,2903.0,2.45826028374225e-10,2.2122130004894566e-10,6.088725320473889e-09,5.479304774780294e-09,2.5092091248617646e-08,2.258062371863948e-08,4.0532446013039277e-08,3.647555330275355e-08,4.2150426005106835e-08,3.793158966987691e-08,inf,inf,5.113247515806872e-10,4.601462548127147e-10
639,GRC,2905.0,3.653546708366453e-11,2.9991122126877654e-11,1.0001034895018174e-09,8.209618840914262e-10,3.5754109134025118e-09,2.9349723410425502e-09,4.364362718325039e-09,3.5826046781211545e-09,1.64562101939196e-08,1.3508523335454489e-08,inf,inf,4.479820442439644e-10,3.677381260461898e-10
