,ISO3,FBS Code2,EnergyI-BaU_high,EnergyI-HalfW_high
1469,MAR,2731.0,7.269233896796576e-09,6.368250879039202e-09
1470,MAR,2735.0,2.853558079496293e-08,2.4998746781486622e-08
1471,TUN,960.0,2.5689800132949294e-09,2.297633651713127e-09
1472,TUN,976.0,1.765892751503127e-08,1.547019703411181e-08
1473,TUN,1016.0,2.354234299866796e-08,2.062439434807268e-08
1474,TUN,1049.0,1.3922118972138387e-07,1.2196546106664603e-07
1475,TUN,1052.0,3.2793534647269467e-09,2.8728949819087166e-09
1476,TUN,1053.0,3.5417809549015328e-09,3.1027959754267313e-09
1477,TUN,2731.0,3.548188874736556e-09,3.1084096675573675e-09
1478,TUN,2735.0,2.854692422335729e-07,2.50086842520467e-07
1479,BWA,960.0,3.768322444175068e-09,3.261018886915309e-09
1480,BWA,976.0,1.962906930264941e-08,1.660439440031229e-08
1481,BWA,1016.0,2.7814070542915094e-08,2.352815561715576e-08
1482,BWA,1049.0,6.831442246185144e-10,5.77877430812795e-10
1483,BWA,1052.0,2.1575488842086865e-09,1.8250887018122321e-09
1484,BWA,1053.0,1.8430571512248412e-10,1.5590575064668347e-10
1485,BWA,2731.0,3.5616403170232796e-08,3.0128214243925285e-08
1486,BWA,2735.0,1.0397202010288139e-08,8.795080407365126e-09
1487,NAM,960.0,1.3610082656508584e-08,1.177785002553541e-08
1488,NAM,976.0,2.938437989087408e-08,2.485649346863448e-08
1489,NAM,1016.0,9.843871428782077e-08,8.327013426326922e-08
1490,NAM,1049.0,1.8330230438697704e-09,1.5505695708744843e-09
1491,NAM,1052.0,4.271095041309787e-09,3.6129551276052413e-09
1492,NAM,1053.0,2.2302598921482623e-09,1.8865955534340766e-09
1493,NAM,2731.0,5.243382264177082e-08,4.435421046388964e-08
1494,NAM,2735.0,1.2857775188160823e-08,1.0876499901396526e-08
1495,SWZ,960.0,2.029893980062701e-08,1.7566231938703562e-08
1496,SWZ,976.0,1.4325514711000516e-08,1.2118073077301864e-08
1497,SWZ,1016.0,3.1252185886621246e-08,2.6436486230312082e-08
1498,SWZ,1049.0,2.2516498652399873e-09,1.9046895111225913e-09
1499,SWZ,1052.0,2.9999881891432325e-09,2.5377151774633276e-09
1500,SWZ,1053.0,4.062687786978795e-09,3.4366616827432933e-09
1501,SWZ,2731.0,2.718518964392914e-08,2.29961799887353e-08
1502,BEN,960.0,3.545730566638846e-08,3.0683930361626505e-08
1503,BEN,976.0,4.566067067750085e-08,3.8624744394257455e-08
1504,BEN,1016.0,2.807636988103662e-08,2.3750036827821352e-08
1505,BEN,1049.0,8.017849204774861e-09,6.78236590770724e-09
1506,BEN,1052.0,2.0701400935193188e-08,1.751148872455946e-08
1507,BEN,1053.0,2.6417330017275633e-09,2.234664108862502e-09
1508,BEN,2731.0,4.3436911116452494e-08,3.6743647525435016e-08
1509,BEN,2735.0,2.516803476790869e-10,2.128985175627876e-10
1510,BFA,960.0,7.03386763405944e-08,6.086945993219393e-08
1511,BFA,976.0,2.684676507716056e-08,2.270990380850795e-08
1512,BFA,1016.0,4.2750535071519813e-08,3.616303627070527e-08
1513,BFA,1049.0,5.775095841133537e-09,4.88520202192376e-09
1514,BFA,1052.0,3.66649511642765e-09,3.101518978883346e-09
1515,BFA,1053.0,3.934281247389793e-09,3.328041513644021e-09
1516,BFA,2731.0,6.259173362433526e-08,5.294687258338189e-08
1517,BFA,2735.0,8.790156091470003e-08,7.43566678239683e-08
1518,CIV,960.0,6.066408129553354e-08,5.249728965415201e-08
1519,CIV,976.0,3.0008004119392306e-08,2.5384022435405694e-08
1520,CIV,1016.0,7.935402535595504e-08,6.712623578565769e-08
1521,CIV,1049.0,4.533309332712474e-09,3.834764396537873e-09
1522,CIV,1052.0,4.290639192728489e-09,3.6294876892551076e-09
1523,CIV,1053.0,1.0512538648810414e-08,8.892644637502703e-09
1524,CIV,2731.0,3.211232333570872e-08,2.7164083714579925e-08
1525,CPV,960.0,8.971824600398709e-09,7.764009026673503e-09
1526,CPV,976.0,4.029486323974451e-08,3.4085762866457254e-08
1527,CPV,1016.0,1.2494123390959861e-08,1.0568883795303705e-08
1528,CPV,1049.0,1.1228054698761494e-09,9.4979056669463e-10
1529,CPV,1052.0,1.881455760129649e-09,1.5915392118828277e-09
1530,CPV,1053.0,8.581302847784283e-09,7.258996071398108e-09
1531,CPV,2731.0,2.2627022560988202e-08,1.9140388212736185e-08
1532,GHA,960.0,4.796514697546829e-08,4.150792627697018e-08
1533,GHA,976.0,4.5475560702858736e-08,3.846815831373581e-08
1534,GHA,1016.0,7.731458700891915e-08,6.5401057778123e-08
1535,GHA,1049.0,3.950171544747382e-09,3.3414832494897463e-09
1536,GHA,1052.0,6.3281746697277645e-09,5.353056043061773e-09
1537,GHA,1053.0,1.0514362485141921e-08,8.894187435956516e-09
1538,GHA,2731.0,4.691961829885126e-08,3.9689698749042667e-08
1539,GHA,2735.0,1.7111456695854993e-10,1.4474724774826255e-10
1540,GIN,960.0,3.9141632587099496e-08,3.387226146969849e-08
1541,GIN,976.0,3.449405309649806e-08,2.91788089006472e-08
1542,GIN,1016.0,3.640952312998488e-08,3.079912107172408e-08
1543,GIN,1049.0,4.682545246362501e-08,3.9610043079024706e-08
1544,GIN,1052.0,1.0596145913086278e-08,8.963368723773069e-09
1545,GIN,1053.0,3.578945871741291e-08,3.027460338312673e-08
1546,GIN,2731.0,8.222123395831415e-08,6.95516315967119e-08
1547,GIN,2735.0,8.433707668977853e-10,7.134144071402583e-10
1548,GMB,960.0,4.833018952782073e-09,4.182382563945419e-09
1549,GMB,976.0,2.3361318768059138e-08,1.9761535534642755e-08
1550,GMB,1016.0,8.39832922991408e-08,7.1042171529927e-08
1551,GMB,1049.0,2.026022205985839e-09,1.7138291812663268e-09
1552,GMB,1052.0,4.08688945427265e-09,3.4571340761459732e-09
1553,GMB,1053.0,5.9905334825816995e-09,5.0674425302292415e-09
1554,GMB,2731.0,8.577179676208971e-08,7.255508245971388e-08
1555,GMB,2735.0,3.887761010491545e-08,3.288689654972342e-08
1556,MLI,960.0,2.9702884666475736e-08,2.5704187825797563e-08
1557,MLI,976.0,1.4991634742089468e-08,1.2681549599984291e-08
1558,MLI,1016.0,1.8602917346235922e-08,1.5736363851526066e-08
1559,MLI,1049.0,1.0203463929182711e-08,8.631195739201058e-09
