,ISO3,FBS Code2,EnergyI-BaU_low,EnergyI-HalfW_low
1370,PER,1053.0,3.9458367735607294e-10,3.5118147932068593e-10
1371,PER,2511.0,5.5314442950092756e-11,4.832828884353629e-11
1372,PER,2514.0,2.8246132345221363e-11,2.4678676488241163e-11
1373,PER,2555.0,7.144584348747734e-10,6.414659427939694e-10
1374,PER,2731.0,1.5195659988508863e-08,1.352421466031169e-08
1375,PER,2735.0,7.124618774088347e-08,6.34094693791005e-08
1376,PER,2805.0,2.5664341573046197e-10,2.242296308832797e-10
1377,PER,2903.0,2.5024974753268794e-11,2.2468303598815342e-11
1378,PER,2905.0,1.2758661019690358e-11,1.114725598109506e-11
1379,PER,2907.0,4.908474306354945e-12,3.863326760872652e-12
1381,PER,2913.0,1.0771272377114423e-11,9.670827655197866e-12
1382,PER,2918.0,5.209259487841215e-11,3.734629485108681e-11
1383,PER,2919.0,9.517303056085746e-12,6.823158012176988e-12
1385,PRY,960.0,2.2570097867647712e-09,1.9975965369075382e-09
1386,PRY,976.0,3.714297658281695e-08,3.3057438032228575e-08
1387,PRY,1016.0,1.0441293234553284e-07,9.292804073146128e-08
1388,PRY,1049.0,9.143610863490753e-10,8.137860164133717e-10
1389,PRY,1052.0,2.8706839040391687e-09,2.5549232721373276e-09
1390,PRY,1053.0,6.111229474456712e-09,5.439025308112775e-09
1391,PRY,2511.0,1.514321077875291e-11,1.323063969376728e-11
1392,PRY,2514.0,1.677099265562577e-11,1.4652834486378006e-11
1393,PRY,2555.0,1.6816085983954362e-11,1.5098074182149476e-11
1394,PRY,2731.0,2.7981039997097222e-08,2.490326788212404e-08
1395,PRY,2735.0,1.1039479172710393e-07,9.825192599905375e-08
1396,PRY,2805.0,1.8911820761218773e-10,1.6523278325879529e-10
1397,PRY,2903.0,5.320570164151047e-11,4.7769952595588334e-11
1398,PRY,2905.0,1.2456222173852403e-10,1.0883014833220717e-10
1399,PRY,2907.0,1.2172973326714523e-12,9.58101655978893e-13
1401,PRY,2913.0,5.6271090143506305e-12,5.052216634166469e-12
1402,PRY,2918.0,4.0630805794827704e-10,2.912909323854236e-10
1403,PRY,2919.0,8.291338224098009e-11,5.944237616690007e-11
1405,SLV,960.0,1.7989896765217668e-09,1.5922197452690218e-09
1406,SLV,976.0,7.971071242410621e-08,7.09429393896153e-08
1407,SLV,1016.0,6.034822325958532e-08,5.37102255741599e-08
1408,SLV,1049.0,1.026394487248829e-09,9.134963129084769e-10
1409,SLV,1052.0,3.580432865465992e-10,3.1866034569090566e-10
1410,SLV,1053.0,2.6902589238135904e-10,2.3943441222683216e-10
1411,SLV,2514.0,3.1424933817143e-11,2.745599878451549e-11
1412,SLV,2555.0,1.917288382178342e-11,1.7214090276609594e-11
1413,SLV,2731.0,1.603881616629752e-08,1.4274627946026481e-08
1414,SLV,2805.0,2.396674967571028e-10,2.0939775205067196e-10
1415,SLV,2903.0,5.1371376683161823e-11,4.612303105143459e-11
1416,SLV,2905.0,2.3630594470048838e-11,2.0646076037019493e-11
1417,SLV,2907.0,5.195008542900578e-11,4.088850073181686e-11
1419,SLV,2913.0,3.850997686823144e-11,3.457561337782206e-11
1420,SLV,2918.0,8.84500676395241e-10,6.341174428677122e-10
1421,SLV,2919.0,1.5630538208621588e-10,1.1205866975581793e-10
1423,SUR,960.0,1.1631111096904511e-09,1.0294269605657137e-09
1424,SUR,976.0,5.4134345324664474e-08,4.817984261426251e-08
1425,SUR,1016.0,1.1011112096147044e-07,9.799945757516277e-08
1426,SUR,1049.0,1.4776417510400589e-09,1.3151086722930556e-09
1427,SUR,1052.0,1.6483981384909494e-09,1.467082725427408e-09
1428,SUR,1053.0,1.1526706989551434e-09,1.0258827834466837e-09
1429,SUR,2514.0,4.31574943435004e-09,3.770674965086083e-09
1430,SUR,2555.0,7.58848015602479e-09,6.813204715696252e-09
1431,SUR,2731.0,1.3502188828370849e-08,1.2017016716420276e-08
1432,SUR,2805.0,5.111248695231543e-10,4.465703532749466e-10
1433,SUR,2903.0,2.5024166651293686e-09,2.2467578056404428e-09
1434,SUR,2907.0,3.221818830724429e-11,2.535806063262105e-11
1436,SUR,2913.0,2.3228458485445636e-11,2.085532802846481e-11
1437,SUR,2918.0,3.4867969154929786e-10,2.499759245931234e-10
1438,SUR,2919.0,1.5546617284260543e-11,1.1145702270930804e-11
1440,TTO,960.0,4.079924069521136e-09,3.6109910731949075e-09
1441,TTO,976.0,1.5418839378877816e-08,1.3722845452616188e-08
1442,TTO,1016.0,9.451480881773675e-09,8.411866045936876e-09
1443,TTO,1049.0,5.205010480356069e-10,4.632485795203372e-10
1444,TTO,1052.0,7.800383385707606e-10,6.942380878541267e-10
1445,TTO,1053.0,9.793232730179318e-10,8.716026928839714e-10
1446,TTO,2514.0,8.510527065377509e-10,7.435656734306999e-10
1447,TTO,2731.0,1.6961846111937386e-08,1.5096129291290154e-08
1448,TTO,2735.0,1.6336597120096477e-07,1.4539654509135614e-07
1449,TTO,2805.0,2.060492327520083e-09,1.8002543830031282e-09
1450,TTO,2903.0,1.5296416696467836e-09,1.3733661580031559e-09
1451,TTO,2907.0,1.5652260961248094e-10,1.231946932297527e-10
1452,TTO,2913.0,5.375882160917115e-11,4.826656318091345e-11
1453,TTO,2918.0,2.950828415434151e-09,2.115511970847097e-09
1454,TTO,2919.0,1.2365643698663746e-10,8.865194307783664e-11
1456,URY,960.0,1.5960054074228716e-09,1.4125658175916043e-09
1457,URY,976.0,1.717187093341688e-08,1.528305245039152e-08
1458,URY,1049.0,4.017004904612719e-09,3.5751547917359233e-09
1459,URY,1052.0,4.7499340067935334e-09,4.227465419650647e-09
1460,URY,1053.0,3.7120424571825378e-09,3.303736662776819e-09
1461,URY,2511.0,1.8731763079500603e-11,1.6365961733928586e-11
1462,URY,2514.0,3.9382878415162794e-11,3.440886361732161e-11
1463,URY,2555.0,1.7575193474476402e-11,1.5779627619439408e-11
1464,URY,2731.0,1.3862444054321968e-08,1.2337645699429006e-08
1465,URY,2735.0,2.2171309709771317e-08,1.973257838369311e-08
1466,URY,2805.0,3.0503334545694924e-10,2.665079650075173e-10
1467,URY,2903.0,2.112344688314338e-09,1.8965374483022053e-09
1468,URY,2905.0,2.709781543475744e-12,2.367539075719098e-12
1469,URY,2907.0,1.4132844962981242e-10,1.1123578274018868e-10
1471,URY,2913.0,1.0848708685337231e-10,9.740352699673457e-11
1472,URY,2918.0,1.4900512196116719e-09,1.0682495721460058e-09
1473,URY,2919.0,2.69264380152465e-10,1.9304139019260937e-10
1475,VCT,960.0,2.0904778221090457e-09,1.8502052062046564e-09
1476,VCT,976.0,1.0224431866019872e-08,9.099796352402658e-09
1477,VCT,1016.0,3.6986936876561805e-08,3.2918561900193345e-08
1478,VCT,1049.0,4.1173865405432036e-10,3.6644949581586875e-10
1479,VCT,1052.0,2.507463190018379e-10,2.2316549896669666e-10
1480,VCT,1053.0,7.004444421208184e-10,6.233991152755314e-10
1481,VCT,2514.0,2.59107107340274e-10,2.263821609168519e-10
1482,VCT,2731.0,8.961826333511046e-09,7.97607100807017e-09
1483,VCT,2903.0,1.182690551142419e-10,1.0618612257759464e-10
1484,VCT,2907.0,1.0695571925429444e-11,8.41819405855963e-12
1486,VCT,2913.0,2.766400168488422e-11,2.4837714912496703e-11
1487,VCT,2918.0,6.048263940025345e-10,4.3361297122672287e-10
1488,VCT,2919.0,1.0060000136416947e-11,7.212229150295166e-12
1490,VEN,960.0,4.080287308984714e-09,3.611312563114342e-09
1491,VEN,976.0,2.0104179518611208e-08,1.7892822002120907e-08
1492,VEN,1016.0,3.52037108758428e-08,3.13314816917779e-08
1493,VEN,1049.0,9.55934138752952e-10,8.507862444534562e-10
1494,VEN,1052.0,4.0644938776577384e-10,3.6174202192293176e-10
1495,VEN,1053.0,2.5657129564546816e-10,2.2834975779976676e-10
1496,VEN,2511.0,5.051209912598101e-08,4.413247583196811e-08
1497,VEN,2514.0,2.374836617370569e-11,2.074897330233334e-11
1498,VEN,2555.0,1.6679388816771213e-10,1.4975342651602466e-10
1499,VEN,2731.0,1.9378458204464678e-08,1.7246926342208588e-08
1500,VEN,2735.0,5.946068954347657e-07,5.292031605367865e-07
1501,VEN,2805.0,4.763758977234235e-10,4.162101388971487e-10
1502,VEN,2903.0,1.9249315273160244e-10,1.7282713125222388e-10
1503,VEN,2905.0,1.0332609474291834e-10,9.027612112655256e-11
1504,VEN,2907.0,1.0973073680225048e-11,8.636608149900186e-12
1506,VEN,2913.0,1.0687239196604642e-11,9.595379706471316e-12
1507,VEN,2918.0,1.0978894939262665e-10,7.87100447765804e-11
1508,VEN,2919.0,2.1029789373120367e-11,1.507670555513599e-11
1510,BDI,960.0,1.0301400568773546e-08,8.914593247819738e-09
1511,BDI,976.0,2.389487860079014e-08,2.0212878273426323e-08
1512,BDI,1016.0,1.9264565301830378e-08,1.6296057408029423e-08
1513,BDI,1049.0,5.565515665222941e-09,4.707916392857452e-09
1514,BDI,1052.0,8.203688210985268e-10,6.939568682148674e-10
1515,BDI,1053.0,5.044529098662789e-10,4.2672094854106634e-10
