,ISO3,Supply-BaU2,Supply-HalfW2,Iron- 5 (mg/day),Iron- 10 (mg/day),Iron- 15 (mg/day),IrL2030,IrM2030,IrH2030,BaU_needed,BaU_needed_low,BaU_needed_high,HalfW_needed,HalfW_needed_low,HalfW_needed_high,BaU_needed2030,BaU_needed2030_low,BaU_needed2030_high,HalfW_needed2030,HalfW_needed2030_low,HalfW_needed2030_high
10,BEN,64625973129.926735,74720842624.89285,121618808207.33333,60809404103.666664,40492622888.22221,186886438759.86612,93443219379.93306,62218178764.54839,-3816569026.260071,56992835077.40659,-24133350241.70452,-13911438521.226189,46897965582.440475,-34228219736.67064,28817246250.006325,122260465629.93939,-2407794365.3783417,18722376755.040207,112165596134.97327,-12502663860.34446
11,BFA,183149750788.61957,211016639152.82306,206217494845.66666,103108747422.83333,68662655631.72223,325937857347.6047,162968928673.80234,108514571271.79146,-80041003365.78624,23067744057.04709,-114487095156.89734,-107907891729.98973,-4799144307.156403,-142353983521.10083,-20180822114.81723,142788106558.9851,-74635179516.82811,-48047710479.02072,114921218194.78162,-102502067881.0316
12,BGD,592999965197.4955,667257997965.172,2027063232137.3333,1013531616068.6666,674781175672.9445,2334071890877.716,1167035945438.858,776834548309.175,420531650871.17114,1434063266939.838,81781210475.44897,346273618103.4946,1359805234172.1611,7523177707.772461,574035980241.3624,1741071925680.2202,183834583111.67957,499777947473.6859,1666813892912.544,109576550344.00305
13,BGR,-119933843242.88748,-75069414792.72508,84699202576.99998,42349601288.49999,28178120441.88889,73369292041.32246,36684646020.66123,24405548848.95891,162283444531.38748,204633045819.88745,148111963684.77637,117419016081.22507,159768617369.72507,103247535234.61397,156618489263.5487,193303135284.20996,144339392091.8464,111754060813.38632,148438706834.04755,99474963641.68399
14,BHR,596417972.1527252,712661791.4553931,16432834530.333334,8216417265.166667,5468124401.722222,24148124445.12805,12074062222.564026,8033515200.948575,7619999293.013942,15836416558.180609,4871706429.569497,7503755473.711274,15720172738.877941,4755462610.2668295,11477644250.4113,23551706472.975327,7437097228.79585,11361400431.108633,23435462653.672657,7320853409.493182
15,BHS,1786320730.256527,1958490807.9446115,4829968106.666666,2414984053.333333,1607525955.5000002,5366998246.233844,2683499123.116922,1785886104.1143932,628663323.0768061,3043647376.410139,-178794774.7565267,456493245.38872147,2871477298.7220545,-350964852.4446113,897178392.860395,3580677515.977317,-434626.14213371277,725008315.1723104,3408507438.2892323,-172604703.83021832
16,BIH,17898439622.13693,21895225001.52741,43254853130.66667,21627426565.333336,14391755292.777777,39448141034.2884,19724070517.1442,13123124958.341993,3728986943.1964073,25356413508.529743,-3506684329.359152,-267798436.19407272,21359628129.139263,-7503469708.749632,1825630895.0072708,21549701412.15147,-4775314663.794935,-2171154484.383209,17552916032.76099,-8772100043.185415
17,BLR,108483930657.36435,132986891099.64207,114123712690.0,57061856345.0,37974066617.388885,107327527346.12537,53663763673.06268,35708036976.73679,-51422074312.36435,5639782032.635651,-70509864039.97546,-75925034754.64207,-18863178409.642075,-95012824482.25319,-54820166984.30167,-1156403311.2389832,-72775893680.62756,-79323127426.57939,-25659363753.51671,-97278854122.90527
18,BLZ,2830375755.364159,3349430793.668791,4442225224.333334,2221112612.166667,1478845732.722222,5945982837.394236,2972991418.697118,1979193457.6364715,-609263143.1974921,1611849468.9691749,-1351530022.641937,-1128318181.5021238,1092794430.6645432,-1870585060.9465687,142615663.3329587,3115607082.0300765,-851182297.7276876,-376439374.971673,2596552043.725445,-1370237336.0323193
19,BOL,107249228570.9817,122996352658.64659,129592874512.33333,64796437256.166664,43139209418.22223,161393223162.13544,80696611581.06772,53719136922.60014,-42452791314.81504,22343645941.351624,-64110019152.759476,-58199915402.47993,6596521853.686737,-79857143240.42436,-26552616989.913986,54143994591.15373,-53530091648.38156,-42299741077.57887,38396870503.488846,-69277215736.04645
20,BRA,2418993867082.735,2835928113251.0566,2595146520722.6665,1297573260361.3333,863750771623.0,2771615696797.6357,1385807848398.8179,922281591355.9277,-1121420606721.4016,176152653639.93164,-1555243095459.7349,-1538354852889.7234,-240781592528.39014,-1972177341628.0566,-1033186018683.917,352621829714.9009,-1496712275726.8071,-1450120264852.2388,-64312416453.4209,-1913646521895.129
21,BRB,2334581182.124522,2530671274.471643,3431216542.3333335,1715608271.1666667,1141774137.6111112,3374865540.151634,1687432770.075817,1122844952.371751,-618972910.9578555,1096635360.2088113,-1192807044.513411,-815063003.3049762,900545267.8616905,-1388897136.8605318,-647148412.0487051,1040284358.027112,-1211736229.7527711,-843238504.3958259,844194265.6799912,-1407826322.099892
22,BRN,2122727679.31055,2249876372.233141,5314036873.666667,2657018436.8333335,1768808468.9999998,6045097606.491353,3022548803.2456765,2011557184.312181,534290757.5227835,3191309194.3561172,-353919210.3105502,407142064.60019255,3064160501.433526,-481067903.2331412,899821123.9351265,3922369927.1808033,-111170494.99836898,772672431.0125356,3795221234.258212,-238319187.92095995
23,BTN,4777871913.59736,5609505642.857634,9795082986.999998,4897541493.499999,3260398156.4444447,11502448999.226124,5751224499.613062,3828151115.1106887,119669579.90263939,5017211073.402638,-1517473757.152915,-711964149.3576345,4185577344.1423645,-2349107486.413189,973352586.0157022,6724577085.628764,-949720798.486671,141718856.7554283,5892943356.36849,-1781354527.746945
24,BWA,4128427476.6345334,5055836921.693191,27294400554.0,13647200277.0,9086540014.888887,35218035076.957695,17609017538.478848,11722424501.601395,9518772800.365467,23165973077.365467,4958112538.2543545,8591363355.306808,22238563632.30681,4030703093.195697,13480590061.844315,31089607600.323162,7593997024.966862,12553180616.785656,30162198155.264503,6666587579.908204
25,CAF,17209823753.910378,20495705680.0227,53527452940.0,26763726470.0,17821513051.777775,73784039487.42831,36892019743.71416,24565113453.7336,9553902716.089622,36317629186.08962,611689297.8673973,6268020789.977299,33031747259.9773,-2674192628.2449265,19682195989.80378,56574215733.51794,7355289699.823223,16396314063.691456,53288333807.40561,4069407773.7108994
26,CAN,363554217739.9837,561574308867.2432,425054587096.6666,212527293548.3333,141427759678.94443,470434804846.8788,235217402423.4394,156511087653.83124,-151026924191.6504,61500369356.68292,-222126458061.03928,-349047015318.90985,-136519721770.57654,-420146549188.2987,-128336815316.54431,106880587106.89508,-207043130086.15247,-326356906443.8038,-91139504020.36438,-405063221213.4119
