,ISO3,FBS Code2,EnergyI-BaU,EnergyI-HalfW,ProteinI-BaU,ProteinI-HalfW,IronI-BaU,IronI-HalfW,ZincI-BaU,ZincI-HalfW,Vitamin AI-BaU,Vitamin AI-HalfW,Vitamin BI-BaU,Vitamin BI-HalfW,FolateI-BaU,FolateI-HalfW
1452,DZA,2731.0,3.3912639159131275e-09,2.970934725746666e-09,5.787195089840709e-08,5.0699029280500243e-08,3.866405143895022e-07,3.387184716560263e-07,2.736995500298716e-07,2.397759412912093e-07,inf,inf,3.6890872927961837e-07,3.231844473398306e-07,1.473135935586326e-07,1.290548543344579e-07
1453,DZA,2735.0,2.2358658534346594e-08,1.958742130009558e-08,2.0370170735294934e-07,1.7845396025623412e-07,1.181558748368707e-06,1.0351108032514093e-06,1.965433604378841e-06,1.7218285250519301e-06,1.1315759882409308e-07,9.913231413547705e-08,1.1893983561907522e-06,1.0419787332303944e-06,7.955029944166316e-07,6.969046140755648e-07
1454,EGY,946.0,2.240432313830032e-09,1.962742601839161e-09,3.700283838022547e-08,3.24165326618064e-08,6.995018097249496e-07,6.128022674622546e-07,4.954699587130078e-07,4.3405908310394367e-07,4.7176185951435544e-09,4.1328947715843955e-09,4.1340224612513417e-07,3.621632285684642e-07,3.48243575638288e-08,3.050806299760949e-08
1455,EGY,960.0,1.905861741043107e-09,1.7045566913994083e-09,3.690716275678992e-08,3.300887461187058e-08,3.875252293406291e-06,3.4659320166484145e-06,3.142096343388143e-07,2.810215049604026e-07,2.527338395731077e-09,2.2603903951166065e-09,2.583501539631186e-07,2.3106213539964266e-07,2.3251513240725912e-08,2.079559163507278e-08
1456,EGY,976.0,4.286963307375887e-09,3.7556169244514376e-09,6.669987535332408e-08,5.843277928335698e-08,6.823903773792577e-07,5.978117064727267e-07,4.0085836523931487e-07,3.511740952413767e-07,1.5969200873873485e-09,1.3989903055315636e-09,1.1134747008186633e-07,9.754654125796109e-08,3.017749215720464e-08,2.643715193178837e-08
1457,EGY,1016.0,1.0765146196473775e-08,9.430863375972908e-09,7.75526633998525e-08,6.794042176653363e-08,4.965441487486694e-07,4.35000132977421e-07,3.998256825368654e-07,3.5026940808713057e-07,1.1342000664337408e-07,9.936219789620451e-08,1.1942973382351127e-06,1.046270512412812e-06,3.059846659716503e-07,2.6805948820895517e-07
1458,EGY,1049.0,7.966915816521724e-08,6.979458822222513e-08,1.6114054898548058e-06,1.4116803191294578e-06,5.698688019347304e-06,4.992365839895632e-06,9.925993243547604e-06,8.695718984419428e-06,8.073141360742013e-06,7.072518273185478e-06,4.175762892953734e-05,3.658199212083499e-05,8.073141360742013e-06,7.072518273185478e-06
1459,EGY,1052.0,1.4277722834472276e-09,1.250807475480667e-09,1.625568707896463e-08,1.424088081353694e-08,1.1666939230454488e-07,1.0220883942499163e-07,1.5827243610121535e-07,1.3865540642094524e-07,1.2760714783309595e-09,1.117909181210846e-09,2.2940611215127454e-07,2.0097244030187552e-07,4.344073117722415e-09,3.805648276462454e-09
1460,EGY,1053.0,6.241060196673297e-10,5.467513860176663e-10,5.432495925085103e-09,4.759166845015913e-09,9.285748082749865e-08,8.134828818284099e-08,6.553470468539134e-08,5.7412025344821134e-08,5.290432940484553e-08,4.6347118144851074e-08,1.6781866900380394e-07,1.470184343461043e-07,4.5663577566461183e-08,4.000381912402632e-08
1461,EGY,2731.0,3.8526033293022254e-09,3.375093563742682e-09,6.565562526828361e-08,5.7517958462289955e-08,4.5025839627114315e-07,3.94451254225302e-07,3.111988760643667e-07,2.726274245937053e-07,inf,inf,4.1916292909389354e-07,3.6720990541233833e-07,1.6670608674737177e-07,1.4604375076415903e-07
1462,EGY,2735.0,4.479365928514208e-09,3.9241722603491466e-09,3.8347221406170106e-08,3.3594286536325435e-08,1.9813456117851412e-07,1.7357683234668777e-07,3.521042477978114e-07,3.0846279228131416e-07,2.5874094452010516e-07,2.266713756603316e-07,2.1505181790836918e-07,1.8839728475891618e-07,1.4287022751601254e-07,1.2516221996492992e-07
1463,MAR,960.0,2.781176135757597e-09,2.487416736521149e-09,5.385769496664868e-08,4.8169021058423564e-08,5.655058269107515e-06,5.057747477309134e-06,4.585182218779139e-07,4.100876188441619e-07,3.6880813974176827e-09,3.2985308897345667e-09,3.7700388616766643e-07,3.3718316654961464e-07,3.393034885624268e-08,3.0346484185558014e-08
