,ISO3,Supply-BaU2,Vitamin B12 (ug/day),VB122030,BaU_needed2030
45,ECU,21198775577.847855,12455603771.444267,15490949554.974476,-5707826022.873379
46,EGY,91406171749.54294,70716842434.52634,94121885594.24162,2715713844.6986847
47,ESP,131739813547.06168,36847703505.65844,36159210247.6449,-95580603299.41678
48,EST,2330942854.1998587,1049405806.6209867,994519745.9489435,-1336423108.250915
49,ETH,40157026951.58437,73026938123.03894,106924756234.77861,66767729283.19424
50,FIN,19268034240.406364,4356875091.797409,4538890444.868947,-14729143795.537418
51,FJI,955735288.7388762,701184429.9632399,780131510.435506,-175603778.30337024
52,FRA,189472562426.7525,50318992308.08858,52657126134.694916,-136815436292.05759
53,GAB,2274887009.7285533,1422943903.3183808,2007048485.2512646,-267838524.47728872
54,GBR,157036892333.87973,51461225307.08173,55620619857.18441,-101416272476.69531
55,GEO,6190521078.645322,3194059503.0936866,3003954334.275995,-3186566744.369327
56,GHA,23470575951.354248,20364256017.81983,28719007577.34862,5248431625.994373
57,GIN,9993060453.071821,8785388840.420864,13299366913.102825,3306306460.031004
58,GMB,3037967735.2404203,1402682519.6071427,2239161940.1016293,-798805795.1387911
59,GRC,29119343687.590366,8945329941.767408,8507280666.459527,-20612063021.13084
60,GRD,138102614.75614357,83636398.0765756,89254078.97878242,-48848535.777361155
61,GTM,7573796396.159953,12195737854.86195,16537641480.312466,8963845084.152512
62,GUY,1088628436.3443875,604285935.9163696,660379359.8215336,-428249076.522854
63,HND,5220166154.596657,6845702221.12636,8817672622.7918,3597506468.1951427
64,HRV,12655931133.88027,3421376293.296652,3110878825.2285333,-9545052308.651737
65,HUN,11233958896.496298,7964214114.8328495,7463717766.541188,-3770241129.9551096
66,IDN,231459521831.9451,202508826309.10175,238319590821.32187,6860068989.37677
67,IND,586709085049.5127,1024295757437.1558,1214919010652.879,628209925603.3662
68,IRL,29190312625.31853,3729352830.7331414,4189583544.6984305,-25000729080.620102
69,IRN,109680194565.85684,62697847339.02077,72715062757.09517,-36965131808.76167
70,ISL,35571630300.998886,260678012.54052532,289029511.0375682,-35282600789.96132
71,ISR,14435256572.290058,6139055123.215847,7778710135.672729,-6656546436.61733
72,ITA,139020049659.86044,47198912626.547005,45448951121.10592,-93571098538.75452
73,JAM,2703001005.0168567,2279985780.213255,2329567285.8403873,-373433719.1764693
74,JOR,9352006421.319077,6723729103.217702,8735866458.350286,-616139962.96879
