,ISO3,Supply-BaU2,Supply-HalfW2,Zinc - low (mg/day),Zinc - mod (mg/day),Zinc - high (mg/day),ZnL2030,ZnM2030,ZnH2030,BaU_needed,BaU_needed_low,BaU_needed_high,HalfW_needed,HalfW_needed_low,HalfW_needed_high,BaU_needed2030,BaU_needed2030_low,BaU_needed2030_high,HalfW_needed2030,HalfW_needed2030_low,HalfW_needed2030_high
75,JPN,556567640410.3802,635854443679.0449,530676423382.5934,265259867835.7967,159534862409.37802,496167711216.2353,248016734991.61758,149209450497.93555,-291307772574.58356,-25891217027.786865,-397032778001.0022,-370594575843.2482,-105178020296.45154,-476319581269.6669,-308550905418.7627,-60399929194.14496,-407358189912.4447,-387837708687.42737,-139686732462.80963,-486644993181.1094
76,KAZ,265560887336.8321,326827382343.66284,75099297647.61711,37502874335.3919,22406444210.401802,89046116730.28539,44504559124.8927,26646436805.530766,-228058013001.4402,-190461589689.21497,-243154443126.4303,-289324508008.27094,-251728084696.04572,-304420938133.26105,-221056328211.9394,-176514770606.5467,-238914450531.30133,-282322823218.77014,-237781265613.37744,-300180945538.1321
77,KEN,181338668951.09393,202872372933.38663,202412195121.87695,101066917397.35513,60032044955.11308,293661242592.13165,146670707623.81583,87354659519.31664,-80271751553.7388,21073526170.78302,-121306623995.98085,-101805455536.0315,-460177811.5096741,-142840327978.27356,-34667961327.27811,112322573641.03772,-93984009431.7773,-56201665309.5708,90788869658.74503,-115517713414.06999
78,KGZ,36808619829.691475,42597204128.159546,25079989670.124767,12522991991.395712,7461671754.304096,30735640053.604813,15359526697.552404,9179982355.19354,-24285627838.29576,-11728630159.566708,-29346948075.38738,-30074212136.763832,-17517214458.03478,-35135532373.85545,-21449093132.13907,-6072979776.086662,-27628637474.497932,-27237677430.60714,-11861564074.554733,-33417221772.966003
79,KHM,99117763861.943,114466537743.31412,67122296129.0314,33528751893.34904,20001189642.942757,82644979253.93114,41297223815.965576,24697933436.697464,-65589011968.59395,-31995467732.91159,-79116574219.00024,-80937785849.96507,-47344241614.282715,-94465348100.37137,-57820540045.97742,-16472784608.011856,-74419830425.24553,-73169313927.34854,-31821558489.38298,-89768604306.61665
80,KIR,828661542.7007778,974599664.9302005,484583191.9567124,242001372.31168956,144122265.42034703,624184153.1572144,311829714.5786072,186049555.3382045,-586660170.3890882,-344078350.74406534,-684539277.2804308,-732598292.618511,-490016472.97348803,-830477399.5098534,-516831828.12217057,-204477389.54356337,-642611987.3625733,-662769950.3515933,-350415511.77298605,-788550109.591996
81,KOR,327771968285.1348,380194528933.7311,219578055142.74298,109765025037.53818,65981294906.2229,224798862679.86093,112361532933.68047,67575728833.03097,-218006943247.59665,-108193913142.39185,-261790673378.91193,-270429503896.1929,-160616473790.9881,-314213234027.5082,-215410435351.45435,-102973105605.2739,-260196239452.10385,-267832996000.0506,-155395666253.87015,-312618800100.70013
82,KWT,25027286312.424507,27434235492.322563,16926796724.533335,8456868767.766667,5060950603.093333,22084262944.951004,11037625875.975502,6616042644.554679,-16570417544.65784,-8100489587.891172,-19966335709.331173,-18977366724.555897,-10507438767.789228,-22373284889.22923,-13989660436.449005,-2943023367.473503,-18411243667.869827,-16396609616.347061,-5349972547.371559,-20818192847.767883
83,LBN,29500339415.060986,33063334153.348377,24710666107.398098,12348640468.449049,7388629298.769429,23305449088.59248,11647038829.796242,6989245158.132411,-17151698946.611937,-4789673307.662888,-22111710116.291557,-20714693684.89933,-8352668045.950279,-25674704854.57895,-17853300585.264744,-6194890326.468506,-22511094256.928574,-21416295323.552135,-9757885064.755898,-26074088995.215965
84,LBY,14092256615.191738,16806825262.864393,27347601585.354286,13661991953.760475,8159953991.089619,32332334666.132915,16159686174.06646,9682869585.202005,-430264661.43126297,13255344970.162548,-5932302624.102119,-3144833309.103918,10540776322.489893,-8646871271.774775,2067429558.8747215,18240078050.941177,-4409387029.989733,-647139088.7979336,15525509403.268522,-7123955677.662388
85,LCA,587786007.3886399,639455289.6033193,771745859.628678,385748184.9810057,231265885.38860345,796996605.7398632,398368581.8699315,239356364.27811778,-202037822.4076342,183959852.24003804,-356520122.0000365,-253707104.62231356,132290570.02535868,-408189404.21471584,-189417425.5187084,209210598.35122323,-348429643.11052215,-241086707.73338777,157541316.13654387,-400098925.3252015
86,LKA,92513390207.60583,101326699977.44421,90049266008.17581,44998501029.837906,26951270730.769405,93031759154.54854,46496085992.27427,27898535502.782177,-47514889177.76793,-2464124199.430023,-65562119476.836426,-56328198947.60631,-11277433969.268402,-74375429246.6748,-46017304215.331566,518368946.94270325,-64614854704.823654,-54830613985.169945,-8294940822.895676,-73428164474.66203
87,LTU,23086950270.799564,40027591067.76896,12415150774.129702,6205109580.898184,3729807622.1722426,11291975177.636728,5644123479.068365,3392368906.2867365,-16881840689.90138,-10671799496.669863,-19357142648.627323,-33822481486.870773,-27612440293.63926,-36297783445.59672,-17442826791.7312,-11794975093.162836,-19694581364.51283,-34383467588.70059,-28735615890.132233,-36635222161.48222
88,LVA,13583739096.953783,23355552511.718437,8415972257.839164,4206340277.002915,2530222046.368415,7295120272.9485235,3646719778.7242618,2193353758.551802,-9377398819.950869,-5167766839.114619,-11053517050.58537,-19149212234.715523,-14939580253.879272,-20825330465.35002,-9937019318.22952,-6288618824.0052595,-11390385338.401981,-19708832732.994175,-16060432238.769913,-21162198753.166634
89,MAR,318663486820.908,368566051650.89307,150328186871.45413,75098344093.81038,44863307026.98624,178987769301.2234,89450624120.61172,53576763111.01939,-243565142727.09766,-168335299949.4539,-273800179793.92178,-293467707557.0827,-218237864779.43893,-323702744623.90686,-229212862700.2963,-139675717519.68463,-265086723709.88864,-279115427530.2814,-189578282349.66968,-314989288539.87366
90,MDA,19540289596.70134,25757557504.984367,17534585327.152954,8763838942.326477,5266051322.595886,16428286103.693748,8212533931.096875,4940921228.267816,-10776450654.374863,-2005704269.5483856,-14274238274.105453,-16993718562.65789,-8222972177.831413,-20491506182.38848,-11327755665.604465,-3112003493.0075912,-14599368368.433525,-17545023573.887493,-9329271401.290619,-20816636276.716553
91,MDG,60287667006.0506,69386651676.16939,103934239485.33432,51891166545.91716,30803057340.816963,156026528682.67996,77914753962.08998,46346392791.48032,-8396500460.133438,43646572479.28372,-29484609665.233635,-17495485130.252228,34547587809.16493,-38583594335.352425,17627086956.039383,95738861676.62936,-13941274214.570274,8528102285.920593,86639877006.51057,-23040258884.689064
92,MDV,1425971178.1237059,1607173903.5327287,1819919798.5596762,909178501.196505,543315618.8179029,2297464829.6514053,1148453335.8257027,688564655.404245,-516792676.9272009,393948620.4359703,-882655559.305803,-697995402.3362237,212745895.0269475,-1063858284.7148257,-277517842.2980032,871493651.5276995,-737406522.7194608,-458720567.707026,690290926.1186767,-918609248.1284837
93,MEX,710510521330.3075,807371666845.6282,545466165277.67053,272546045244.75186,162878844099.85114,641112574722.3435,320409143305.1718,192013768516.6831,-437964476085.55566,-165044356052.63696,-547631677230.45636,-534825621600.87634,-261905501567.95764,-644492822745.7771,-390101378025.1357,-69397946607.96399,-518496752813.6244,-486962523540.45636,-166259092123.28467,-615357898328.9451
94,MKD,11600604598.945396,13848828790.637705,9062294575.38533,4529439081.609332,2719407090.4655986,8992114313.918905,4494645117.959453,2700830807.159785,-7071165517.336064,-2538310023.560066,-8881197508.479797,-9319389709.028374,-4786534215.252375,-11129421700.172106,-7105959480.985944,-2608490285.026491,-8899773791.785612,-9354183672.678253,-4856714476.7188,-11147997983.47792
95,MLI,120021123269.05562,136240052244.76219,73981412109.76419,36915136594.79876,21837421470.345924,118511375359.781,59160174607.6405,35072933363.63059,-83105986674.25687,-46039711159.29143,-98183701798.70969,-99324915649.96344,-62258640134.998,-114402630774.41626,-60860948661.415115,-1509747909.2746124,-84948189905.42502,-77079877637.12169,-17728676884.981186,-101167118881.13159
96,MLT,3171813225.729735,3662428611.2194147,1836371702.743048,917857418.2881905,551551695.2729143,1887453239.637416,943435021.3187078,567120694.1862242,-2253955807.4415445,-1335441522.986687,-2620261530.4568205,-2744571192.9312243,-1826056908.4763668,-3110876915.9465003,-2228378204.411027,-1284359986.092319,-2604692531.5435104,-2718993589.900707,-1774975371.5819988,-3095307917.0331907
97,MNG,18094239115.039295,20995454146.25225,12715423115.900835,6349142288.7004175,3786605929.7869167,15728140753.784264,7860442477.642131,4703094706.723616,-11745096826.338879,-5378815999.13846,-14307633185.252378,-14646311857.551834,-8280031030.351416,-17208848216.465332,-10233796637.397163,-2366098361.2550316,-13391144408.31568,-13135011668.610119,-5267313392.467987,-16292359439.528635
98,MRT,10478646701.0327,12153397625.397984,17876621187.57619,8924450898.954762,5298470581.739524,26773616191.452263,13370823668.976131,7956216135.940551,-1554195802.077938,7397974486.543491,-5180176119.293176,-3228946726.443222,5723223562.178207,-6854927043.65846,2892176967.943432,16294969490.419563,-2522430565.092149,1217426043.578148,14620218566.05428,-4197181489.4574327
99,MUS,7763471828.844714,8142050020.3879795,5538544524.803542,2768627854.9017715,1661642328.841063,5557426183.370078,2777646835.4350395,1669258592.2199237,-4994843973.942943,-2224927304.041172,-6101829500.003651,-5373422165.486208,-2603505495.5844374,-6480407691.546917,-4985824993.409675,-2206045645.474636,-6094213236.62479,-5364403184.95294,-2584623837.0179014,-6472791428.168056
100,MWI,78067916971.29839,91070992651.75154,74876533710.83981,37378552131.503235,22166393799.00194,116386782307.56566,58115410947.78283,34537191721.28935,-40689364839.79515,-3191383260.4585724,-55901523172.29645,-53692440520.24831,-16194458940.911728,-68904598852.7496,-19952506023.515556,38318865336.26727,-43530725250.00903,-32955581703.96871,25315789655.814117,-56533800930.46219
101,MYS,121578768904.3726,132239548574.3916,134722586464.39781,67323371380.78225,40263660175.50268,162143736555.49298,81031183151.24648,48559541616.858604,-54255397523.590355,13143817560.025208,-81315108728.86993,-64916177193.60935,2483037890.0062103,-91975888398.88892,-40547585753.12613,40564967651.12038,-73019227287.514,-51208365423.14513,29904187981.10138,-83680006957.53299
102,NAM,8757817278.496897,9997081207.932531,10420571242.159927,5203387029.829964,3094081320.8979783,14260362105.033585,7123726045.766793,4248283929.286088,-3554430248.666933,1662753963.6630306,-5663735957.598919,-4793694178.102568,423490034.227396,-6902999887.034554,-1634091232.7301035,5502544826.536688,-4509533349.210809,-2873355162.165738,4263280897.101053,-5748797278.646443
103,NER,151542199709.33456,173908033593.9204,83262035626.36095,41532065808.26381,24519290141.224953,152622097945.068,76152302844.03401,45014783876.4686,-110010133901.07076,-68280164082.97362,-127022909568.10962,-132375967785.6566,-90645997967.55946,-149388743452.69547,-75389896865.30055,1079898235.733429,-106527415832.86597,-97755730749.8864,-21285935648.852417,-128893249717.45181
104,NGA,750377422197.6083,869415813640.8055,774594982911.3756,386589640921.0212,229064593893.57938,1162648858749.958,580485407707.4791,344627349493.55023,-363787781276.5871,24217560713.767334,-521312828304.02893,-482826172719.78436,-94820830729.42993,-640351219747.2262,-169892014490.12915,412271436552.34973,-405750072704.05804,-288930405933.3264,293233045109.15247,-524788464147.2553
105,NIC,21824756727.694263,25398245843.004288,26424162965.01143,13202544573.92238,7884357473.05343,30625941592.60914,15305580039.05457,9168044580.859457,-8622212153.771883,4599406237.317165,-13940399254.640835,-12195701269.081907,1025917122.0071411,-17513888369.95086,-6519176688.639694,8801184864.914875,-12656712146.834806,-10092665803.949718,5227695749.604851,-16230201262.14483
106,NLD,148370078358.31268,181710517647.88214,72375293845.24792,36175587979.62396,21725106344.44104,74270388518.46925,37120395899.98462,22298490053.76476,-112194490378.68872,-75994784513.06476,-126644972013.87164,-145534929668.25818,-109335223802.63422,-159985411303.4411,-111249682458.32806,-74099689839.84343,-126071588304.54793,-144590121747.89752,-107440129129.41289,-159412027594.11737
107,NOR,26133796931.452053,31080728134.774845,21998287880.695107,10994603364.680885,6598292631.708532,25327380440.132923,12657885898.81646,7597257226.564947,-15139193566.771168,-4135509050.7569466,-19535504299.743523,-20086124770.09396,-9082440254.079739,-24482435503.066315,-13475911032.635593,-806416491.31913,-18536539704.887108,-18422842235.958385,-5753347694.641922,-23483470908.2099
108,NPL,134567601029.86418,153700917977.53458,125807073755.6752,62868317139.67093,37532716227.13589,145319535819.41946,72622238938.20973,43494240651.78046,-71699283890.19325,-8760527274.18898,-97034884802.7283,-90832600837.86365,-27893844221.859375,-116168201750.39868,-61945362091.65445,10751934789.555283,-91073360378.08372,-81078679039.32484,-8381382158.115112,-110206677325.75412
109,NZL,41884375778.84002,57382934511.2672,19582956397.427536,9786722054.0471,5869713097.761594,22118736723.031025,11054568757.515512,6634374624.589948,-32097653724.79292,-22301419381.412483,-36014662681.07842,-47596212457.22009,-37799978113.83966,-51513221413.5056,-30829807021.32451,-19765639055.808994,-35250001154.25007,-46328365753.751686,-35264197788.236176,-50748559886.677246
110,OMN,26239923344.445263,29144092063.266735,18075278577.432384,9028691569.21619,5389813620.163047,27261724190.72392,13626796287.361961,8159911692.301373,-17211231775.229073,-8164644767.012878,-20850109724.282215,-20115400494.050545,-11068813485.83435,-23754278443.103687,-12613127057.083302,1021800846.278656,-18080011652.14389,-15517295775.904774,-1882367872.5428162,-20984180370.965363
111,PAK,924608051461.781,1041482819035.0402,818922628854.9803,408966224175.2401,243399167711.57742,1079335841947.7747,539265251641.6373,321883779304.6337,-515641827286.5409,-105685422606.80066,-681208883750.2036,-632516594859.8,-222560190180.0598,-798083651323.4628,-385342799820.1437,154727790485.99365,-602724272157.1472,-502217567393.40283,37853022912.7345,-719599039730.4065
112,PAN,14168312274.683966,15879409049.07863,17060026113.286104,8523006480.14305,5091686518.419165,21172817954.48701,10580074730.743504,6333660078.374369,-5645305794.5409155,2891713838.6021385,-9076625756.264801,-7356402568.93558,1180617064.2074738,-10787722530.659466,-3588237543.940462,7004505679.803045,-7834652196.309597,-5299334318.335127,5293408905.4083805,-9545748970.704262
113,PER,174684955361.0896,200065540316.57104,135766492532.016,67830311976.75799,40526457730.15481,160393748899.7719,80154961992.63596,48003252824.39674,-106854643384.3316,-38918462829.07359,-134158497630.93478,-132235228339.81305,-64299047784.55504,-159539082586.41623,-94529993368.45364,-14291206461.317688,-126681702536.69286,-119910578323.93509,-39671791416.79913,-152062287492.17432
114,PHL,411813312845.0505,465881563932.9547,442918816158.0356,221256750041.51782,131941322127.64401,551938944366.567,275763544037.7835,164771626381.51245,-190556562803.53265,31105503312.985107,-279871990717.4065,-244624813891.4369,-22962747774.91913,-333940241805.31067,-136049768807.26697,140125631521.51654,-247041686463.53802,-190118019895.1712,86057380433.6123,-301109937551.44226
115,PNG,24202077180.269962,28383750274.88144,34313078156.071796,17137193706.95256,10199075837.704872,46211057693.538635,23083861808.019314,13766511930.742956,-7064883473.317402,10111000975.801834,-14003001342.56509,-11246556567.928879,5929327881.190357,-18184674437.176567,-1118215372.2506485,22008980513.268673,-10435565249.527006,-5299888466.862125,17827307418.657196,-14617238344.138483
116,POL,288652374887.1739,365378237557.76,163060427915.10733,81502103604.22034,49000723842.49886,154096443550.49188,77032242823.49593,46348828312.76456,-207150271282.95355,-125591946972.06656,-239651651044.67502,-283876133953.5397,-202317809642.65268,-316377513715.26117,-211620132063.67798,-134555931336.682,-242303546574.40933,-288345994734.2641,-211281794007.26813,-319029409244.9955
117,PRT,78230498967.32118,89668072201.07182,43831387928.01667,21910352973.758335,13178850617.155,40556405118.72841,20273181838.364204,12203900962.70856,-56320145993.56285,-34399111039.30451,-65051648350.16618,-67757719227.31349,-45836684273.05515,-76489221583.91682,-57957317128.95698,-37674093848.59277,-66026598004.612625,-69394890362.70761,-49111667082.343414,-77464171238.36327
118,PRY,61394407059.39916,79056106510.43857,28997742031.788994,14488015800.311163,8647943509.853365,34367358195.08223,17173153738.541115,10273587793.580826,-46906391259.088,-32396665027.61017,-52746463549.5458,-64568090710.1274,-50058364478.649574,-70408163000.5852,-44221253320.85805,-27027048864.316933,-51120819265.81834,-61882952771.89745,-44688748315.35634,-68782518716.85774
119,QAT,757223582.1149507,892663138.408714,11267761875.190268,5631723842.345134,3372686220.5404134,15334224219.055712,7665183905.777856,4594884297.7778015,4874500260.230183,10510538293.075317,2615462638.4254627,4739060703.9364195,10375098736.781553,2480023082.1316996,6907960323.662905,14577000636.940762,3837660715.662851,6772520767.369142,14441561080.646997,3702221159.369087
120,ROU,133091380048.64764,192149535229.8743,85098041876.57074,42535746666.95204,25569020457.671227,78080105135.44334,39028460039.97167,23468238230.03951,-90555633381.6956,-47993338172.076904,-107522359590.97641,-149613788562.92224,-107051493353.30356,-166580514772.20306,-94062920008.67596,-55011274913.2043,-109623141818.60814,-153121075189.90262,-114069430094.43095,-168681296999.83478
121,RUS,1445091856748.693,1789239688778.9941,607879691643.5178,303735799859.5923,182403831429.08868,597121300485.8418,298485674297.17084,179348360339.3202,-1141356056889.1008,-837212165105.1753,-1262688025319.6045,-1485503888919.4019,-1181359997135.4763,-1606835857349.9055,-1146606182451.5222,-847970556262.8513,-1265743496409.373,-1490754014481.8232,-1192118388293.1523,-1609891328439.6738
122,RWA,34899258648.54032,40872456385.00855,49691279329.505714,24809424894.002857,14738143668.501713,70214311744.70638,35073131503.10319,20902897708.504814,-10089833754.537464,14792020680.965393,-20161114980.03861,-16063031491.005695,8818822944.497162,-26134312716.50684,173872854.5628662,35315053096.16605,-13996360940.035507,-5799324881.905365,29341855359.697823,-19969558676.50374
123,SAU,175732370542.03812,194357491263.75104,138111842101.40155,68998874981.70076,41212059347.05379,177689113412.0192,88806338943.0096,53183661039.17256,-106733495560.33736,-37620528440.636566,-134520311194.98433,-125358616282.05028,-56245649162.34949,-153145431916.69727,-86926031599.02852,1956742869.981079,-122548709502.86555,-105551152320.74144,-16668377851.731842,-141173830224.5785
124,SEN,77931261336.91992,85499225919.80579,63503979074.43619,31696479321.30143,18795301725.71419,97107843804.98093,48493784027.99046,28833974729.059284,-46234782015.61849,-14427282262.483734,-59135959611.205734,-53802746598.50436,-21995246845.3696,-66703924194.0916,-29437477308.92946,19176582468.061005,-49097286607.86064,-37005441891.81532,11608617885.17514,-56665251190.746506
125,SGP,24942020426.59674,26476163507.55924,23768863840.902744,11881405115.368038,7139717487.454156,27171136144.82608,13582148241.41304,8171878666.036696,-13060615311.228703,-1173156585.6939964,-17802302939.142586,-14594758392.1912,-2707299666.656494,-19336446020.105083,-11359872185.1837,2229115718.2293396,-16770141760.560043,-12894015266.146198,694972637.2668419,-18304284841.52254
126,SLB,3199121801.8848314,3675812013.369856,2544046397.6238093,1270429128.2285714,755189524.470476,3411046419.99801,1703900438.249005,1015487012.4853599,-1928692673.65626,-655075404.2610221,-2443932277.4143553,-2405382885.1412845,-1131765615.7460465,-2920622488.8993797,-1495221363.6358263,211924618.11317873,-2183634789.3994713,-1971911575.1208508,-264765593.37184572,-2660325000.8844957
127,SLE,24048810444.90666,28746432018.253014,31173401590.319794,15562741331.326565,9235893804.762604,42784566556.10462,21368148401.30231,12717291161.326365,-8486069113.580093,7124591145.413136,-14812916640.144054,-13183690686.926449,2426969572.06678,-19510538213.49041,-2680662043.604347,18735756111.197964,-11331519283.580294,-7378283616.950703,14038134537.851608,-16029140856.92665
128,SLV,25275835568.390007,28145898032.41372,27437589724.54224,13710410885.271118,8194422027.862673,29165468098.100643,14575237368.800322,8733436860.559713,-11565424683.118889,2161754156.152233,-17081413540.527334,-14435487147.142601,-708308307.871479,-19951476004.55105,-10700598199.589685,3889632529.710636,-16542398707.830294,-13570660663.613398,1019570065.686924,-19412461171.854004
129,STP,527510745.6573915,628369469.1797041,837191769.547619,417948916.1904762,247947405.7476191,1175217194.0155659,586893452.5077827,349036124.95613563,-109561829.46691531,309681023.8902275,-279563339.9097724,-210420552.9892279,208822300.36791492,-380422063.432085,59382706.85039121,647706448.3581743,-178474620.70125586,-41476016.67192137,546847724.8358618,-279333344.22356844
130,SUR,1984167345.4515321,2382659478.748583,2413774399.6395655,1206068060.7364497,720981804.1418698,2697586220.882694,1348101508.441347,807448046.0316141,-778099284.7150824,429607054.18803334,-1263185541.3096623,-1176591418.0121331,31114920.890982628,-1661677674.606713,-636065837.0101852,713418875.4311616,-1176719299.419918,-1034557970.307236,314926742.1341109,-1575211432.7169688
131,SVK,46822344903.913155,60438528543.68466,23317211664.134403,11654078998.650534,7004306745.590321,22992869023.63448,11493304691.567238,6910658745.193947,-35168265905.26262,-23505133239.77875,-39818038158.32283,-48784449545.03413,-37121316879.55026,-53434221798.094345,-35329040212.34592,-23829475880.278675,-39911686158.71921,-48945223852.117424,-37445659520.050186,-53527869798.490715
132,SVN,11803460295.024588,14589546440.566547,8745121410.864763,4370571443.265715,2626394913.4594293,8633837769.465502,4315854362.232752,2594470941.410455,-7432888851.758873,-3058338884.1598244,-9177065381.565159,-10218974997.300833,-5844425029.701784,-11963151527.107119,-7487605932.791836,-3169622525.559086,-9208989353.614132,-10273692078.333796,-5955708671.101046,-11995075499.156092
133,SWE,67983460852.03521,83061157247.54953,40914764551.8448,20447491870.9224,12276239188.853441,45247136495.922806,22614096114.711403,13574111506.907705,-47535968981.11281,-27068696300.190407,-55707221663.18177,-62613665376.62713,-42146392695.70473,-70784918058.69609,-45369364737.32381,-22736324356.112404,-54409349345.1275,-60447061132.83813,-37814020751.626724,-69487045740.64183
134,SWZ,2102369057.480858,2445470463.68142,5698902973.993943,2846037593.330305,1693096354.1315162,7317260465.168499,3655586260.3342495,2180786258.852233,743668535.849447,3596533916.5130854,-409272703.34934187,400567129.64888525,3253432510.3125234,-752374109.5499036,1553217202.8533914,5214891407.687641,78417201.37137485,1210115796.6528296,4871790001.48708,-264684204.82918692
135,SYC,424769368.12498003,512323031.74000365,403946769.0041905,201809256.1687619,120836066.4679238,424048144.9980687,211951601.74903432,127132407.94540057,-222960111.95621812,-20822599.120789528,-303933301.6570562,-310513775.57124174,-108376262.73581314,-391486965.2720798,-212817766.37594572,-721223.1269113421,-297636960.1795795,-300371429.9909693,-88274886.74193496,-385190623.7946031
136,SYR,129031987627.87117,150560580587.20868,85457154757.12753,42693199564.98044,25430578333.221596,116490438581.93091,58204497591.465454,34777116551.08387,-86338788062.89073,-43574832870.74364,-103601409294.64957,-107867381022.22824,-65103425830.08115,-125130002253.98709,-70827490036.40572,-12541549045.940262,-94254871076.7873,-92356082995.74323,-34070142005.27777,-115783464036.12482
137,TGO,27297534103.329792,31314226088.614746,31751361794.965965,15850680623.98298,9408154322.756454,46253561575.12034,23098148015.810165,13739877335.886501,-11446853479.346811,4453827691.636173,-17889379780.573338,-15463545464.631765,437135706.3512192,-21906071765.85829,-4199386087.5196266,18956027471.790546,-13557656767.44329,-8216078072.804581,14939335486.505592,-17574348752.728245
138,THA,256534169971.0338,310226833627.3859,297882207831.60333,148892603439.71835,89393768365.63103,297799936059.4958,148856843644.7479,89518159428.67244,-107641566531.31546,41348037860.56952,-167140401605.40277,-161334230187.66757,-12344625795.782593,-220833065261.75488,-107677326326.28592,41265766088.461975,-167016010542.3614,-161369989982.63803,-12426897567.890137,-220708674198.7135
139,TON,880385262.0325867,1002826357.3801849,465299659.90838486,232434431.2875257,138432855.27251542,528931856.43983513,264225904.21991754,157604126.11964643,-647950830.7450609,-415085602.12420183,-741952406.7600713,-770391926.0926592,-537526697.4718001,-864393502.1076695,-616159357.8126692,-351453405.59275156,-722781135.9129403,-738600453.1602674,-473894500.94034976,-845222231.2605385
140,TTO,7304076565.705211,7898096192.810666,5899307991.848153,2947983044.1740766,1767674710.1377792,5968725057.24781,2983468369.8739047,1791819458.0749645,-4356093521.531134,-1404768573.8570576,-5536401855.567431,-4950113148.636589,-1998788200.962513,-6130421482.672887,-4320608195.831306,-1335351508.4574003,-5512257107.630246,-4914627822.936762,-1929371135.5628557,-6106276734.735702
141,TUN,91326035097.90747,104316034577.66176,48405708320.90391,24181621447.36862,14464563907.287842,55911882742.70902,27945952343.354515,16755444382.039934,-67144413650.53885,-42920326777.00356,-76861471190.61963,-80134413130.29314,-55910326256.75785,-89851470670.37392,-63380082754.552956,-35414152355.19845,-74570590715.86754,-76370082234.30725,-48404151834.952736,-87560590195.62183
142,TUR,901220364445.7478,1057347248219.2859,337367373524.2246,168571619686.69565,100838354686.68402,384459437882.755,192145431462.3775,115222813972.97446,-732648744759.0521,-563852990921.5232,-800382009759.0637,-888775628532.5902,-719979874695.0613,-956508893532.6018,-709074932983.3704,-516760926562.9928,-785997550472.7733,-865201816756.9084,-672887810336.5309,-942124434246.3114
143,TZA,355819379548.16675,414071095573.63855,227848031402.89545,113710676693.28105,67355176651.13531,366224811733.95435,182840072431.97714,108537085044.29315,-242108702854.88568,-127971348145.2713,-288464202897.03143,-300360418880.3575,-186223064170.7431,-346715918922.50323,-172979307116.1896,10405432185.787598,-247282294503.8736,-231231023141.6614,-47846283839.684204,-305534010529.3454
144,UGA,121551482933.2762,140949444461.02917,169506660619.7711,84582679925.38553,50020458101.064644,278918274364.82837,139236291159.16418,82565896723.34204,-36968803007.89067,47955177686.49489,-71531024832.21155,-56366764535.64365,28557216158.741913,-90928986359.96454,17684808225.887985,157366791431.5522,-38985586209.93416,-1713153301.8649902,137968829903.7992,-58383547737.68713
145,UKR,624358254977.4331,775828759522.2113,189605367974.8593,94759902714.59631,56985785884.39112,174622050990.33957,87289660986.6698,52494719883.62345,-529598352262.8368,-434752887002.5738,-567372469093.042,-681068856807.615,-586223391547.352,-718842973637.8202,-537068593990.7633,-449736203987.0935,-571863535093.8097,-688539098535.5415,-601206708531.8717,-723334039638.5879
146,URY,46492051323.0418,58445571265.33939,14568685444.373714,7280698373.603523,4363369494.928781,15191016149.101753,7592086966.050877,4554350815.856105,-39211352949.43828,-31923365878.668087,-42128681828.11302,-51164872891.73587,-43876885820.96568,-54082201770.410614,-38899964356.99092,-31301035173.94005,-41937700507.1857,-50853484299.28851,-43254555116.23764,-53891220449.48329
147,USA,3792330832824.966,4790649277188.112,1364467992331.6294,681951556038.9814,409172052757.18884,1503075381022.1958,751167447815.3479,450755940665.255,-3110379276785.9844,-2427862840493.3364,-3383158780067.777,-4108697721149.131,-3426181284856.483,-4381477224430.9233,-3041163385009.618,-2289255451802.77,-3341574892159.711,-4039481829372.7646,-3287573896165.9165,-4339893336522.8574
148,VCT,1403316850.1046815,1551138006.392795,482125502.67700964,240944704.25517145,144226116.9531029,486946653.83134085,243378554.66567042,145977475.48530313,-1162372145.84951,-921191347.4276719,-1259090733.1515787,-1310193302.1376235,-1069012503.7157855,-1406911889.4396923,-1159938295.439011,-916370196.2733407,-1257339374.6193783,-1307759451.7271247,-1064191352.5614543,-1405160530.907492
149,VEN,143689205426.95526,158787516332.57303,135130841569.71529,67514903531.69097,40342965377.01459,160372289901.60507,80142535590.30255,47993819303.17681,-76174301895.26428,-8558363857.239975,-103346240049.94067,-91272612800.88205,-23656674762.857742,-118444550955.55844,-63546669836.65271,16683084474.64981,-95695386123.77844,-78644980742.27048,1584773569.0320435,-110793697029.39621
150,VUT,2641875434.1491656,3004953237.7751384,1139660198.0028574,569162258.5014285,338829487.36752385,1557186058.0353975,777868850.7676986,464029072.64723694,-2072713175.647737,-1502215236.1463082,-2303045946.781642,-2435790979.27371,-1865293039.772281,-2666123750.4076147,-1864006583.3814669,-1084689376.113768,-2177846361.501929,-2227084387.0074396,-1447767179.7397408,-2540924165.1279016
151,YEM,118479891780.84447,131171082067.10007,115960381214.59856,57898920711.04928,34380764483.82957,162438948497.80762,81146571539.65381,48363033017.503586,-60580971069.79519,-2519510566.2459106,-84099127297.0149,-73272161356.05078,-15210700852.50151,-96790317583.27051,-37333320241.19066,43959056716.96315,-70116858763.34088,-50024510527.44626,31267866430.70755,-82808049049.59648
