,ISO3,Supply-BaU2,Supply-HalfW2,Zinc - low (mg/day),Zinc - mod (mg/day),Zinc - high (mg/day),ZnL2030,ZnM2030,ZnH2030,BaU_needed,BaU_needed_low,BaU_needed_high,HalfW_needed,HalfW_needed_low,HalfW_needed_high,BaU_needed2030,BaU_needed2030_low,BaU_needed2030_high,HalfW_needed2030,HalfW_needed2030_low,HalfW_needed2030_high
14,BHR,746722828.448237,869575550.8345932,6101143579.2198105,3048407838.4432383,1823664427.865943,9228743989.748692,4612408386.124346,2764221331.122214,2301685009.9950013,5354420750.771574,1076941599.417706,2178832287.608645,5231568028.385218,954088877.0313498,3865685557.676109,8482021161.300455,2017498502.673977,3742832835.2897525,8359168438.914099,1894645780.2876205
15,BHS,1434465801.1248798,1588439441.2126179,1669784514.8314288,834454622.4157143,500217798.5160952,1907333463.5751348,953280178.5375673,572165583.8099989,-600011178.7091656,235318713.70654893,-934248002.6087847,-753984818.7969036,81345073.61881089,-1088221642.6965227,-481185622.5873126,472867662.4502549,-862300217.314881,-635159262.6750506,318894022.3625169,-1016273857.402619
16,BIH,15442625959.69934,18491359582.262604,15384022642.494326,7690273343.330495,4623005091.964964,14421764794.222912,7208578097.361458,4334691687.718934,-7752352616.368846,-58603317.20501518,-10819620867.734377,-10801086238.93211,-3107336939.768278,-13868354490.29764,-8234047862.337883,-1020861165.476429,-11107934271.980408,-11282781484.901146,-4069594788.039692,-14156667894.54367
17,BLR,93056546521.54697,112301197874.1091,40063733565.94806,20020457722.474026,12027809118.651083,38770992730.01667,19380365158.508335,11646939879.070793,-73036088799.07294,-52992812955.59891,-81028737402.89589,-92280740151.63507,-72237464308.16104,-100273388755.45802,-73676181363.03864,-54285553791.5303,-81409606642.47617,-92920832715.60077,-73530205144.09244,-100654257995.0383
18,BLZ,1502420235.980854,1796798171.106396,1558975349.4893332,778810173.9113332,464347136.51346666,2070822940.55337,1034689810.5266849,618734745.3412597,-723610062.0695208,56555113.50847912,-1038073099.4673874,-1017987997.1950628,-237822821.6170628,-1332451034.5929294,-467730425.45416915,568402704.572516,-883685490.6395943,-762108360.5797111,274024769.44697404,-1178063425.7651362
19,BOL,61536348106.98788,70258525184.66783,46392189961.168564,23175334924.250957,13819717192.917236,57246666035.66429,28602160389.83214,17094262357.48737,-38361013182.73692,-15144158145.819313,-47716630914.07064,-47083190260.41687,-23866335223.499268,-56438807991.750595,-32934187717.155735,-4289682071.3235855,-44442085749.5005,-41656364794.83569,-13011859149.00354,-53164262827.180466
20,BRA,1394955335417.614,1625365008294.2168,896841433981.2194,448209419360.52637,268489769579.91583,976413260900.6683,488031310511.33417,293002822971.2613,-946745916057.0876,-498113901436.39465,-1126465565837.6982,-1177155588933.6904,-728523574312.9974,-1356875238714.301,-906924024906.2798,-418542074516.9457,-1101952512446.3528,-1137333697782.8826,-648951747393.5485,-1332362185322.9556
21,BRB,1503253725.4914432,1632755954.8001335,1214637452.476,607076907.6546667,364363579.6928,1225644785.1401753,612601293.8200877,367907094.1202807,-896176817.8367765,-288616273.0154431,-1138890145.798643,-1025679047.1454668,-418118502.3241334,-1268392375.1073334,-890652431.6713555,-277608940.3512678,-1135346631.3711624,-1020154660.9800458,-407111169.6599581,-1264848860.6798527
22,BRN,1650163187.8676627,1757889399.7054565,1830865612.2905526,914891857.8952762,547383426.7371657,2158882241.049653,1079015092.5248265,647264236.9835162,-735271329.9723865,180702424.42288995,-1102779761.130497,-842997541.8101803,72976212.58509612,-1210505972.9682908,-571148095.3428361,508719053.1819904,-1002898950.8841465,-678874307.18063,400992841.34419656,-1110625162.7219403
23,BTN,3200263703.7138968,3638556140.507753,3467911306.1108575,1732901052.4720953,1035464683.2499237,4033068469.810416,2015660625.6552083,1207735541.1464427,-1467362651.2418015,267647602.39696074,-2164799020.463973,-1905655088.0356576,-170644834.3968954,-2603091457.257829,-1184603078.0586884,832804766.0965195,-1992528162.567454,-1622895514.8525445,394512329.3026633,-2430820599.36131
24,BWA,3809981051.6823797,4519404318.934183,9556834919.039125,4773416770.936229,2846078504.028404,12339313747.452948,6165851164.726474,3687441485.0362043,963435719.253849,5746853867.356746,-963902547.6539755,254012452.00204563,5037430600.104942,-1673325814.905779,2355870113.044094,8529332695.770568,-122539566.64617538,1646446845.7922907,7819909428.5187645,-831962833.8979788
25,CAF,13868409685.2333,16492348202.291615,19876076790.620754,9922422198.810379,5885264140.952892,26737325046.06423,13350202921.782116,7933995393.754819,-3945987486.42292,6007667105.387455,-7983145544.280407,-6569926003.4812355,3383728588.3291397,-10607084061.338722,-518206763.4511833,12868915360.830933,-5934414291.47848,-3142145280.5094986,10244976843.772617,-8558352808.536796
26,CAN,294109866365.4124,446962600216.8343,151948365979.6729,75945431343.66978,45619122021.20187,171069969744.30417,85506065593.6521,51371633682.14272,-218164435021.7426,-142161500385.7395,-248490744344.21054,-371017168873.1645,-295014234237.1614,-401343478195.63245,-208603800771.7603,-123039896621.10825,-242738232683.26968,-361456534623.1822,-275892630472.53015,-395590966534.6916
27,CHE,51602623995.92304,58725624099.22502,34780475560.75182,17383252349.542576,10444578317.525549,38520751052.4007,19253594537.95035,11570267092.818542,-34219371646.380466,-16822148435.171219,-41158045678.39749,-41342371749.68245,-23945148538.473198,-48281045781.69947,-32349029457.97269,-13081872943.522339,-40032356903.1045,-39472029561.27467,-20204873046.824318,-47155357006.40648
28,CHL,123636558634.77199,142131495017.2788,76619351163.36856,38292507362.60096,22957108354.293903,84360878304.38992,42163853990.19496,25311415453.94338,-85344051272.17102,-47017207471.40343,-100679450280.47809,-103838987654.67786,-65512143853.91025,-119174386662.98491,-81472704644.57703,-39275680330.382065,-98325143180.82861,-99967641027.08385,-57770616712.888885,-116820079563.33543
29,CIV,112582554397.22826,140783686623.03052,99492487282.96097,49664160725.98047,29447358451.82162,146480073165.04266,73135356462.27133,43439526648.78997,-62918393671.24779,-13090067114.267288,-83135195945.40663,-91119525897.05005,-41291199340.06955,-111336328171.2089,-39447197934.956924,33897518767.814407,-69143027748.4383,-67648330160.759186,5696386542.012146,-97344159974.24054
30,CMR,115966459118.72668,135630020418.981,97433412578.82236,48634246937.244514,28840703208.013374,144780454696.47647,72297958633.23822,42980284969.66644,-67332212181.48217,-18533046539.904327,-87125755910.71332,-86995773481.73648,-38196607840.158646,-106789317210.96762,-43668500485.488464,28813995577.749786,-72986174149.06024,-63332061785.74278,9150434277.495468,-92649735449.31456
31,COD,128028715981.48235,159465706508.8035,321403030002.227,160368230708.8635,94887251052.88475,527449950467.92413,263309959575.96207,156172821193.955,32339514727.38115,193374314020.74463,-33141464928.597595,902524200.0599976,161937323493.4235,-64578455455.91875,135281243594.47972,399421234486.4418,28144105212.47264,103844253067.15857,367984243959.1206,-3292885314.8485107
32,COG,11844092358.199556,13469114164.56964,21268685643.038097,10616025393.85238,6297654174.744762,32111301446.535336,16034155198.017664,9530367608.022533,-1228066964.3471756,9424593284.838541,-5546438183.454794,-2853088770.7172585,7799571478.468458,-7171459989.824877,4190062839.8181076,20267209088.335777,-2313724750.177023,2565041033.4480247,18642187281.9657,-3938746556.547106
33,COL,181712931909.72653,206216585842.0748,209983359452.79718,104937575764.2319,62830801755.07247,230688901747.7759,115298894055.88795,69189365146.84003,-76775356145.49463,28270427543.07065,-118882130154.65405,-101279010077.8429,3766773610.7223816,-143385784087.00232,-66414037853.83858,48975969838.04938,-112523566762.8865,-90917691786.18684,24472315905.70111,-137027220695.23477
34,COM,1748402882.9217393,2066204548.3607063,3342692127.3623238,1668853612.5144951,991005443.508697,4678348724.17406,2336643160.08703,1391222786.3502603,-79549270.4072442,1594289244.4405844,-757397439.4130423,-397350935.8462112,1276487579.0016174,-1075199104.8520093,588240277.1652906,2929945841.2523203,-357180096.5714791,270438611.7263236,2612144175.8133535,-674981762.0104461
35,CPR,10642075988802.473,12657325251931.992,6088856742394.61,3043000709041.472,1826179106277.0166,6308107723440.254,3153291114193.8765,1894710278662.76,-7599075279761.0,-4553219246407.862,-8815896882525.457,-9614324542890.52,-6568468509537.382,-10831146145654.977,-7488784874608.596,-4333968265362.2188,-8747365710139.713,-9504034137738.115,-6349217528491.738,-10762614973269.232
