,ISO3,FBS Code2,EnergyI-BaU,EnergyI-HalfW,ProteinI-BaU,ProteinI-HalfW,IronI-BaU,IronI-HalfW,ZincI-BaU,ZincI-HalfW,Vitamin AI-BaU,Vitamin AI-HalfW,Vitamin BI-BaU,Vitamin BI-HalfW,FolateI-BaU,FolateI-HalfW
30,NZL,2903.0,2.8468700817978668e-09,2.5505746790821074e-09,4.202650764557233e-08,3.765248963639157e-08,1.9935704015612055e-07,1.7860843807731535e-07,2.8342847087149346e-07,2.539299161411889e-07,1.530171895730303e-07,1.3709152787991138e-07,inf,inf,3.5732235757497016e-09,3.2013310453741708e-09
31,NZL,2905.0,1.0875165652472735e-10,8.882049688036893e-11,2.9607654333775542e-09,2.4181393216665265e-09,1.0152717973704558e-08,8.292006613302961e-09,1.2728904509787584e-08,1.0396049673459783e-08,4.7367783565469995e-08,3.86865837896474e-08,inf,inf,1.3062306711434596e-09,1.066834850694526e-09
32,NZL,2907.0,3.603838215348208e-10,2.5356300958366275e-10,1.36688698823611e-08,9.617301271233912e-09,3.4606373035108135e-08,2.4348751451122202e-08,9.279803732646336e-08,6.529191440321527e-08,1.4173093529144538e-09,9.972068765615747e-10,inf,inf,1.8697744281312513e-09,1.3155574776370015e-09
33,NZL,2913.0,1.87960923124253e-08,1.6839840154379665e-08,2.9935880276556313e-06,2.682022573408015e-06,9.555449840188032e-06,8.560941563666767e-06,1.261583544735241e-05,1.1302809584890718e-05,inf,inf,inf,inf,6.293416984658986e-07,5.63841325552846e-07
34,NZL,2918.0,1.6858566933758464e-09,1.304680790921316e-09,3.5588388849804755e-08,2.754177593778852e-08,7.45948611780852e-08,5.7728799169522764e-08,1.5674182823490844e-07,1.213021564854815e-07,4.568392245274203e-10,3.535468721168674e-10,inf,inf,1.7277013739963586e-09,1.337064297314435e-09
35,NZL,2919.0,3.4907062973109085e-10,2.7014499338789786e-10,2.8638370421489855e-08,2.2163171946357754e-08,7.897293183908348e-08,6.111697843478562e-08,2.164096958647238e-07,1.674789881448618e-07,5.2989384042470185e-09,4.1008367884772805e-09,inf,inf,2.1268822461888914e-09,1.6459894972434577e-09
36,NZL,2960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,BGD,946.0,1.2662787694227488e-07,1.131365893156554e-07,2.010237489128186e-06,1.7960611733078939e-06,3.699983511625675e-05,3.305776935834727e-05,2.6527348832893827e-05,2.3701051008763147e-05,2.711948825792077e-07,2.423010224585702e-07,2.257091042540032e-05,2.0166142597834544e-05,1.9598177916061746e-06,1.7510133311604046e-06
38,BGD,960.0,2.2739234149473344e-08,2.020781857847671e-08,4.403470606740019e-07,3.9132599871978534e-07,4.6236443804060866e-05,4.108923202798522e-05,3.74890071686952e-06,3.331559236218829e-06,3.01542018069103e-08,2.6797324636675636e-08,3.0824295996962185e-06,2.7392821465374822e-06,2.774186566235748e-07,2.465353866574158e-07
39,BGD,976.0,5.062128138298444e-08,4.5227948700977835e-08,8.4399750391762e-07,7.540756529282657e-07,1.3842624299192746e-05,1.2367792449861684e-05,6.742928946604813e-06,6.024518466533555e-06,2.506112056957896e-08,2.2391038799166666e-08,1.825540478089501e-06,1.6310422976045725e-06,4.3427833865060294e-07,3.880091116981788e-07
