,ISO3,FBS Code2,EnergyI-BaU,EnergyI-HalfW
188,BRN,976.0,1.6569990097725277e-08,1.4804577079859102e-08
189,BRN,1016.0,3.0486777332715004e-08,2.7238630939232776e-08
190,BRN,1049.0,2.950845911938271e-09,2.636454548037084e-09
191,BRN,1052.0,1.0635993248138038e-09,9.502804825727493e-10
192,BRN,1053.0,2.0699376524347963e-09,1.849400714498943e-09
193,BRN,2731.0,3.339870728115202e-10,2.984031573919557e-10
194,BRN,2805.0,2.500768068904071e-09,2.2403350067621513e-09
195,BRN,2903.0,4.822706233796138e-08,4.1174171250517664e-08
196,BRN,2907.0,2.4491572863572835e-10,1.8713106758711316e-10
197,BRN,2913.0,1.2390870572136707e-09,1.0578787140401272e-09
198,BRN,2918.0,1.8501726479456376e-09,1.2855640307786348e-09
199,BRN,2919.0,8.995504882852783e-10,6.250388323992184e-10
201,CPR,946.0,2.4524521040532997e-08,2.178730614827144e-08
202,CPR,960.0,2.732292198707042e-09,2.5810984156893196e-09
203,CPR,976.0,8.845840658335795e-09,7.858544443883678e-09
204,CPR,1016.0,1.658499267802676e-08,1.4733919261697277e-08
205,CPR,1049.0,8.155135418901398e-10,7.244929748416203e-10
206,CPR,1052.0,2.4987479151630057e-09,2.2198592879768723e-09
207,CPR,1053.0,2.625921037979759e-09,2.332838446919913e-09
208,CPR,2511.0,1.0561762593310643e-10,8.695257879609109e-11
209,CPR,2514.0,4.7524835485450117e-11,3.912611144031161e-11
210,CPR,2555.0,2.817079215102954e-10,2.5578413223779287e-10
211,CPR,2731.0,7.417941115702449e-09,6.590014696333781e-09
212,CPR,2735.0,1.5491326083340403e-09,1.3762318271684576e-09
213,CPR,2805.0,2.197742442988695e-10,1.8093511500487825e-10
214,CPR,2903.0,3.5676560404564416e-10,3.239347333716068e-10
215,CPR,2905.0,7.045819728654793e-11,5.800662434193854e-11
216,CPR,2907.0,1.51196517052675e-10,1.1025735506194783e-10
218,CPR,2913.0,8.708956965208783e-11,7.907527016278096e-11
219,CPR,2918.0,4.331535182287673e-10,3.3514199541145317e-10
220,CPR,2919.0,4.551827589387291e-10,3.521865844041174e-10
222,IDN,946.0,1.8609882831526604e-08,1.6627133945258312e-08
223,IDN,960.0,5.096703211704949e-09,4.52931937696145e-09
224,IDN,976.0,1.8170399461247392e-08,1.6234474360536653e-08
225,IDN,1016.0,1.7268718738224448e-08,1.542886121975096e-08
226,IDN,1049.0,2.110664218451333e-09,1.885788158440298e-09
227,IDN,1052.0,1.254139952574386e-09,1.1205203797537095e-09
228,IDN,1053.0,3.088029308643288e-09,2.7590220425629325e-09
229,IDN,2514.0,1.0921693925997787e-10,9.784295289037855e-11
230,IDN,2555.0,3.16126690795432e-10,2.69895238744927e-10
231,IDN,2731.0,2.4640758519290556e-08,2.2015463295606367e-08
232,IDN,2735.0,2.1494232455893737e-09,1.9204176905897617e-09
233,IDN,2805.0,5.899087475723911e-10,5.284749251300284e-10
234,IDN,2903.0,3.521079635625319e-10,3.006144867128467e-10
235,IDN,2907.0,2.2230885073283172e-11,1.6985798667742337e-11
237,IDN,2913.0,1.5957141592403438e-11,1.362351444900698e-11
238,IDN,2918.0,7.198933639818655e-10,5.002068405664326e-10
239,IDN,2919.0,8.552392277464082e-11,5.942498339938621e-11
241,JPN,960.0,5.022378021528635e-10,4.744460332791203e-10
242,JPN,976.0,1.304592346492297e-07,1.1589850339887313e-07
243,JPN,1016.0,1.0745036030298646e-07,9.545768057178578e-08
244,JPN,1049.0,4.2213464798892184e-10,3.7501963020304324e-10
245,JPN,1052.0,3.7717215318740397e-10,3.350754601288682e-10
246,JPN,1053.0,4.4620890699042655e-10,3.964069286661476e-10
247,JPN,2511.0,1.1628222768576044e-10,9.573250180642176e-11
248,JPN,2514.0,1.9142728938104824e-11,1.5759771455353485e-11
249,JPN,2555.0,3.3656132139253443e-10,3.0558972241768553e-10
250,JPN,2731.0,4.877839791911559e-09,4.333417509477613e-09
251,JPN,2735.0,2.0486394545674133e-09,1.8199880401463694e-09
252,JPN,2805.0,5.567176378607012e-10,4.583329140906447e-10
253,JPN,2903.0,6.795516862936979e-10,6.170168643376608e-10
254,JPN,2905.0,1.2350606025000665e-10,1.0167971814179194e-10
255,JPN,2907.0,1.334727470126393e-10,9.733261284940255e-11
257,JPN,2913.0,5.2307436464903555e-11,4.749391559182644e-11
258,JPN,2918.0,3.9783983015295517e-10,3.078188885013191e-10
259,JPN,2919.0,4.3511817388113377e-10,3.366620999192567e-10
261,KOR,960.0,4.5931177795481145e-10,4.3389535824448666e-10
262,KOR,976.0,3.222967118419453e-06,2.863247408532906e-06
263,KOR,1016.0,1.3197991631893627e-08,1.1724945973507243e-08
264,KOR,1049.0,5.071251241472289e-10,4.5052420461197756e-10
265,KOR,1052.0,1.0902435656368433e-09,9.68560009855211e-10
266,KOR,1053.0,9.371104680777263e-10,8.32518303987055e-10
267,KOR,2511.0,4.306687289879237e-09,3.5455972676428648e-09
268,KOR,2514.0,1.9811765946943743e-09,1.631057434184719e-09
269,KOR,2555.0,1.1237456102435446e-10,1.0203344450918087e-10
270,KOR,2731.0,8.900649452784991e-09,7.907235954813034e-09
271,KOR,2735.0,1.8708292962998487e-09,1.6620235136202347e-09
272,KOR,2805.0,5.086633754198955e-10,4.1877093753174505e-10
273,KOR,2903.0,1.3141318525391153e-09,1.1932006517448115e-09
274,KOR,2905.0,4.880631402466138e-10,4.0181123448694e-10
275,KOR,2907.0,1.9190357279924732e-10,1.3994224719086293e-10
276,KOR,2913.0,2.9101278540480607e-10,2.642327286566947e-10
277,KOR,2918.0,1.4683964143800914e-10,1.1361359971927003e-10
278,KOR,2919.0,2.014225817785263e-10,1.558458217174851e-10
280,MNG,960.0,1.0475583760429766e-08,9.895908153696382e-09
281,MNG,976.0,2.4630393645657103e-08,2.1881362169049243e-08
282,MNG,1016.0,4.2673266657092975e-08,3.791044577255084e-08
283,MNG,1049.0,1.6041421046874654e-08,1.4251016393916386e-08
284,MNG,1052.0,1.013354047863146e-08,9.002522349323175e-09
285,MNG,1053.0,9.108377638630643e-08,8.09177931748112e-08
286,MNG,2511.0,1.544528778562558e-10,1.2715752615557875e-10
287,MNG,2731.0,2.7049126348533855e-08,2.4030136850573725e-08
288,MNG,2735.0,5.002635335435462e-08,4.4442844539615196e-08
289,MNG,2903.0,6.619638800886228e-09,6.0104755213652265e-09
290,MNG,2905.0,1.4226333173932799e-09,1.1712215128460738e-09
291,MNG,2907.0,4.140287960081758e-10,3.0192309225906576e-10
292,MNG,2913.0,0.0,0.0
293,MNG,2918.0,6.417573029131493e-09,4.9654409814718905e-09
294,MNG,2919.0,1.1119167115399127e-07,8.603185008415764e-08
296,MYS,946.0,2.2994909970342233e-08,2.054496804721001e-08
297,MYS,960.0,1.7686032923272435e-08,1.5717158385245482e-08
298,MYS,976.0,4.2497553644427584e-08,3.796974560176386e-08
299,MYS,1016.0,6.616796015255429e-08,5.9118240899251527e-08
300,MYS,1049.0,8.689352465687928e-10,7.763564588369949e-10
301,MYS,1052.0,7.208151575255055e-10,6.440174977160719e-10
302,MYS,1053.0,4.362659763367007e-10,3.8978498091458277e-10
303,MYS,2514.0,4.3961552587768235e-11,3.938334243733116e-11
304,MYS,2731.0,1.694917657104685e-08,1.5143363967408285e-08
305,MYS,2735.0,3.3115053723620255e-09,2.9586883423805616e-09
306,MYS,2805.0,7.05605735268091e-10,6.321230862428652e-10
307,MYS,2903.0,3.106840616895741e-09,2.6524855839588876e-09
308,MYS,2907.0,3.225234528697207e-11,2.464282649121308e-11
310,MYS,2913.0,1.0158278810279062e-11,8.672697258935205e-12
311,MYS,2918.0,1.6138559358496906e-10,1.1213629951186664e-10
312,MYS,2919.0,1.5550054424152046e-10,1.0804716341762403e-10
314,PHL,946.0,8.797063230633676e-08,7.859799547628543e-08
315,PHL,960.0,4.824521663500736e-08,4.287438084462116e-08
316,PHL,976.0,1.3873261752804592e-06,1.2395165703608493e-06
317,PHL,1016.0,1.4344100377795134e-08,1.2815839866642803e-08
318,PHL,1049.0,7.420265314286134e-10,6.629689526093e-10
319,PHL,1052.0,3.1364049397169575e-09,2.8022435988096854e-09
320,PHL,1053.0,1.0529574595022431e-09,9.407724313096342e-10
321,PHL,2514.0,9.755184899444788e-11,8.73926794708367e-11
322,PHL,2555.0,1.5374266681216925e-10,1.3125881164967348e-10
323,PHL,2731.0,1.073082177109886e-08,9.587530053036796e-09
324,PHL,2735.0,3.8542967689336104e-09,3.4436492277785278e-09
325,PHL,2805.0,1.127562336227818e-09,1.0101366078561348e-09
326,PHL,2903.0,3.8051441128161106e-10,3.248666780407766e-10
328,PHL,2907.0,1.020252498482748e-11,7.795372731387925e-12
330,PHL,2913.0,4.360669101727753e-12,3.722949888657248e-12
331,PHL,2918.0,2.2878587730815906e-10,1.589683508423291e-10
332,PHL,2919.0,6.111767272196624e-11,4.246667562808383e-11
334,SGP,976.0,0.0,0.0
335,SGP,1016.0,1.4147832666733123e-08,1.2640483065608627e-08
336,SGP,1049.0,0.0,0.0
337,SGP,1052.0,3.918954616227892e-10,3.501418247460523e-10
338,SGP,1053.0,2.6639918540635173e-11,2.3801627225482953e-11
339,SGP,2731.0,2.821660205829776e-09,2.521032647817494e-09
340,SGP,2735.0,0.0,0.0
341,SGP,2907.0,3.6674707488023314e-07,2.802179020477056e-07
342,SGP,2913.0,1.3072643036919724e-08,1.1160854860432551e-08
343,SGP,2918.0,2.66347418914187e-09,1.850674107775852e-09
344,SGP,2919.0,1.1686718289369919e-06,8.120336600662051e-07
346,THA,946.0,7.171896223778942e-08,6.407782372076473e-08
347,THA,960.0,3.623547367482059e-09,3.220160684887896e-09
348,THA,976.0,1.5832201371794704e-06,1.414539442511571e-06
349,THA,1016.0,3.9409068185803494e-07,3.5210316008712916e-07
350,THA,1049.0,1.382084004245924e-09,1.2348329148674625e-09
351,THA,1052.0,3.1250851697969766e-09,2.792129868788227e-09
352,THA,1053.0,1.313538807236106e-09,1.1735907145643199e-09
353,THA,2511.0,3.391857251963142e-11,3.038625066435375e-11
354,THA,2514.0,8.074181349507254e-11,7.233326174135924e-11
355,THA,2555.0,4.0384216982243495e-10,3.4478290512339864e-10
356,THA,2731.0,2.6495438563063988e-08,2.367254054819263e-08
357,THA,2735.0,1.8980023854937423e-10,1.6957839110390289e-10
358,THA,2805.0,8.158463720619813e-10,7.308831275470306e-10
359,THA,2903.0,7.141993168008247e-10,6.097523579372743e-10
360,THA,2905.0,2.470347779030449e-10,2.213082723286861e-10
361,THA,2907.0,1.4322438661807372e-11,1.094324669209495e-11
363,THA,2913.0,1.8947513811722512e-11,1.6176564373512064e-11
364,THA,2918.0,2.498768764381572e-09,1.7362310745913199e-09
365,THA,2919.0,3.257846379360462e-10,2.2636644897753755e-10
367,ALB,946.0,1.4036119896193602e-06,1.2414339656175984e-06
368,ALB,960.0,3.260924594580498e-09,3.054589725369401e-09
369,ALB,976.0,6.283392650591053e-09,5.557388447409233e-09
370,ALB,1016.0,4.403742770341522e-09,3.894919601269197e-09
371,ALB,1049.0,2.7603282773181377e-09,2.441390715568581e-09
372,ALB,1052.0,2.1864225065308407e-09,1.933795937105261e-09
373,ALB,1053.0,3.3354180889860093e-09,2.9500327268688215e-09
374,ALB,2511.0,9.506352304136714e-11,7.803545313424051e-11
375,ALB,2514.0,1.1363605274539592e-10,9.328121433617232e-11
376,ALB,2555.0,9.92683621521857e-11,8.933259132188226e-11
377,ALB,2731.0,3.6135437144112852e-09,3.1960227872737687e-09
378,ALB,2735.0,1.5093410190209868e-07,1.3349467093257476e-07
379,ALB,2903.0,4.300240120503156e-10,3.8698290668071815e-10
380,ALB,2905.0,2.496250282768007e-10,2.0491142734896475e-10
381,ALB,2907.0,1.5525383605900742e-10,1.1235588639379513e-10
383,ALB,2913.0,1.4981778284515236e-10,1.3482252026218018e-10
384,ALB,2918.0,3.3396822921020574e-10,2.592199573259389e-10
385,ALB,2919.0,1.7641494399014675e-10,1.3693001385470193e-10
387,AUT,960.0,1.3582578190776333e-09,1.2723141116027332e-09
388,AUT,976.0,1.1082941132083044e-08,9.802381044094262e-09
389,AUT,1016.0,1.2279336262683252e-08,1.0860540679670883e-08
390,AUT,1049.0,8.065985849924107e-10,7.134014866175522e-10
391,AUT,1052.0,4.033151619335466e-09,3.567147791382477e-09
392,AUT,1053.0,2.813929541221137e-09,2.4887987101577845e-09
393,AUT,2511.0,1.145556332840862e-10,9.403607678745029e-11
394,AUT,2514.0,7.728940747170796e-11,6.344509167735286e-11
395,AUT,2555.0,1.236822526262616e-10,1.1130289538466364e-10
396,AUT,2731.0,6.920415099298834e-09,6.12080719171705e-09
397,AUT,2735.0,7.609398814961342e-09,6.7301834243985684e-09
398,AUT,2903.0,4.179382831542801e-09,3.761068384461942e-09
399,AUT,2905.0,5.3019745386609565e-11,4.3522685925554496e-11
400,AUT,2907.0,1.1748366834655736e-10,8.502193587574338e-11
402,AUT,2913.0,1.6622081470302314e-10,1.4958377258497496e-10
403,AUT,2918.0,2.581662112837257e-10,2.0038383420551322e-10
404,AUT,2919.0,2.2417398971469476e-10,1.7399970106393832e-10
406,BGR,946.0,2.463389682533258e-08,2.178761399208382e-08
407,BGR,960.0,1.7334432922795368e-09,1.623759739463939e-09
408,BGR,976.0,4.550152578004264e-09,4.024412730051431e-09
409,BGR,1016.0,3.447851546913737e-09,3.0494752470065763e-09
410,BGR,1049.0,1.788528532727674e-09,1.5818759638883289e-09
411,BGR,1052.0,6.201945881148492e-09,5.485352310126566e-09
412,BGR,1053.0,4.125508671926807e-09,3.648833601206825e-09
413,BGR,2511.0,7.770213637798789e-11,6.378389131566564e-11
414,BGR,2514.0,8.119846598827961e-11,6.665394763923625e-11
415,BGR,2555.0,1.5694338948010407e-10,1.412349248958414e-10
416,BGR,2731.0,8.95559938778832e-09,7.920839480346399e-09
417,BGR,2735.0,5.3875047022853736e-09,4.765014389165586e-09
418,BGR,2805.0,8.334375437651204e-10,6.841496538950934e-10
419,BGR,2903.0,1.1591194354009132e-09,1.0431031657112998e-09
420,BGR,2905.0,1.1945022326716612e-10,9.80539327958979e-11
421,BGR,2907.0,6.135485653924266e-10,4.4401990095824113e-10
422,BGR,2913.0,2.942626965883766e-11,2.648099419158765e-11
423,BGR,2918.0,8.049497305785575e-10,6.247870802068596e-10
424,BGR,2919.0,4.823906596489287e-10,3.744227003399207e-10
426,BLR,960.0,1.7011486616971354e-09,1.5935085502995072e-09
427,BLR,976.0,6.344549105017539e-08,5.611478680538672e-08
428,BLR,1016.0,2.1570697697061692e-08,1.9078347136706686e-08
429,BLR,1049.0,1.2320248113381915e-09,1.0896725438300205e-09
430,BLR,1052.0,4.404247299773858e-09,3.8953658356834014e-09
431,BLR,1053.0,3.1297833060953564e-09,2.7681576745888207e-09
432,BLR,2511.0,1.168121286149243e-10,9.588838175158068e-11
433,BLR,2514.0,1.9389573773701504e-10,1.591645383111001e-10
434,BLR,2731.0,9.18465015835138e-09,8.123424958762682e-09
435,BLR,2735.0,1.0188179003770222e-08,9.011002724835917e-09
436,BLR,2903.0,1.1902176186311207e-09,1.0710887316371093e-09
437,BLR,2905.0,8.265204063680328e-11,6.784715353707185e-11
438,BLR,2907.0,5.16822179307396e-11,3.740198344727886e-11
440,BLR,2913.0,1.5179142927685403e-10,1.365986244133376e-10
441,BLR,2918.0,3.705063777215267e-11,2.8758019183169466e-11
442,BLR,2919.0,1.3137169716287393e-10,1.0196827947655473e-10
444,CAN,960.0,1.6290012646454266e-09,1.4549735874010809e-09
445,CAN,976.0,7.801307308637396e-08,6.850792467267084e-08
446,CAN,1049.0,1.5042233868554868e-09,1.3209481231878914e-09
447,CAN,1052.0,5.75082186512158e-09,5.050139105602173e-09
448,CAN,1053.0,1.9195301307213576e-09,1.685653703921959e-09
449,CAN,2511.0,8.267515942926163e-11,6.752309780680049e-11
450,CAN,2514.0,1.0797448107405728e-10,8.81857561150543e-11
451,CAN,2555.0,1.104780156137844e-10,9.897972900885026e-11
