,ISO3,Supply-BaU2,Supply-HalfW2,Vitamin A (ug RE/day),VA2030,BaU_needed,BaU_needed_low,BaU_needed_high,HalfW_needed,HalfW_needed_low,HalfW_needed_high,BaU_needed2030,BaU_needed2030_low,BaU_needed2030_high,HalfW_needed2030,HalfW_needed2030_low,HalfW_needed2030_high
10,BEN,625955157456.2698,802940365692.3605,2002908870028.2852,3044313162922.414,1376953712572.0154,1376953712572.0154,1376953712572.0154,1199968504335.9248,1199968504335.9248,1199968504335.9248,2418358005466.1445,2418358005466.1445,2418358005466.1445,2241372797230.0537,2241372797230.0537,2241372797230.0537
11,BFA,900462430956.3064,1101453104960.7368,3415723328736.509,5325209047614.456,2515260897780.202,2515260897780.202,2515260897780.202,2314270223775.772,2314270223775.772,2314270223775.772,4424746616658.149,4424746616658.149,4424746616658.149,4223755942653.719,4223755942653.719,4223755942653.719
12,BGD,3320780110756.391,4112692091133.9365,31471984852353.223,36594016520568.62,28151204741596.832,28151204741596.832,28151204741596.832,27359292761219.285,27359292761219.285,27359292761219.285,33273236409812.227,33273236409812.227,33273236409812.227,32481324429434.68,32481324429434.68,32481324429434.68
13,BGR,1170552604066.872,1351606719526.6313,1414993102682.0076,1260225706818.8516,244440498615.1355,244440498615.1355,244440498615.1355,63386383155.37622,63386383155.37622,63386383155.37622,89673102751.97949,89673102751.97949,89673102751.97949,-91381012707.77979,-91381012707.77979,-91381012707.77979
14,BHR,197945022243.55444,227179628259.56427,271257373773.33618,410418266493.5653,73312351529.78174,73312351529.78174,73312351529.78174,44077745513.77191,44077745513.77191,44077745513.77191,212473244250.01086,212473244250.01086,212473244250.01086,183238638234.00104,183238638234.00104,183238638234.00104
15,BHS,56711528087.4959,63394430981.40364,75661243575.98209,87144024019.05783,18949715488.486183,18949715488.486183,18949715488.486183,12266812594.578445,12266812594.578445,12266812594.578445,30432495931.561928,30432495931.561928,30432495931.561928,23749593037.65419,23749593037.65419,23749593037.65419
16,BIH,519851372176.7251,603606487327.561,704089697671.4276,666414654036.1353,184238325494.7025,184238325494.7025,184238325494.7025,100483210343.86658,100483210343.86658,100483210343.86658,146563281859.41016,146563281859.41016,146563281859.41016,62808166708.57422,62808166708.57422,62808166708.57422
17,BLR,3061956509179.192,3717364852775.0107,1851396752882.887,1787268213390.231,-1210559756296.305,-1210559756296.305,-1210559756296.305,-1865968099892.1238,-1865968099892.1238,-1865968099892.1238,-1274688295788.961,-1274688295788.961,-1274688295788.961,-1930096639384.7798,-1930096639384.7798,-1930096639384.7798
18,BLZ,27699657570.81555,36554853592.61927,69281652164.9364,93030695681.83018,41581994594.12085,41581994594.12085,41581994594.12085,32726798572.31713,32726798572.31713,32726798572.31713,65331038111.01463,65331038111.01463,65331038111.01463,56475842089.210915,56475842089.210915,56475842089.210915
19,BOL,971952661534.4834,1194832570822.4922,2068942805024.2761,2571569813354.866,1096990143489.7927,1096990143489.7927,1096990143489.7927,874110234201.7839,874110234201.7839,874110234201.7839,1599617151820.3828,1599617151820.3828,1599617151820.3828,1376737242532.374,1376737242532.374,1376737242532.374
20,BRA,17896449807373.707,21367855994598.02,40433627466681.71,44556844139861.62,22537177659308.004,22537177659308.004,22537177659308.004,19065771472083.69,19065771472083.69,19065771472083.69,26660394332487.91,26660394332487.91,26660394332487.91,23188988145263.598,23188988145263.598,23188988145263.598
21,BRB,30778804121.001804,35029221155.92196,55438649780.80273,56401062555.30639,24659845659.800922,24659845659.800922,24659845659.800922,20409428624.880768,20409428624.880768,20409428624.880768,25622258434.304585,25622258434.304585,25622258434.304585,21371841399.38443,21371841399.38443,21371841399.38443
22,BRN,47911838157.57932,53082119494.16315,81969119741.2682,97763800752.64334,34057281583.68888,34057281583.68888,34057281583.68888,28887000247.105057,28887000247.105057,28887000247.105057,49851962595.06402,49851962595.06402,49851962595.06402,44681681258.480194,44681681258.480194,44681681258.480194
23,BTN,131276742681.60806,161740134127.1372,154130615186.40204,181043491590.57794,22853872504.793976,22853872504.793976,22853872504.793976,-7609518940.735168,-7609518940.735168,-7609518940.735168,49766748908.96988,49766748908.96988,49766748908.96988,19303357463.440735,19303357463.440735,19303357463.440735
24,BWA,200903201307.9625,233115092951.38864,427440914271.8006,553620726507.6697,226537712963.8381,226537712963.8381,226537712963.8381,194325821320.41196,194325821320.41196,194325821320.41196,352717525199.70715,352717525199.70715,352717525199.70715,320505633556.281,320505633556.281,320505633556.281
25,CAF,127496169419.85675,159672782636.49918,881067472685.6757,1188430809339.9155,753571303265.8188,753571303265.8188,753571303265.8188,721394690049.1765,721394690049.1765,721394690049.1765,1060934639920.0588,1060934639920.0588,1060934639920.0588,1028758026703.4164,1028758026703.4164,1028758026703.4164
