,ISO3,Supply-BaU2,Vitamin A (ug RE/day),VA2030,BaU_needed2030
76,KAZ,5347961419281.565,3423995345581.129,4016386764349.8013,-1331574654931.7642
77,KEN,6957794841654.418,8968947158338.996,13073067850314.172,6115273008659.754
78,KGZ,1652588215509.2163,1128355648361.9563,1374256141085.085,-278332074424.13135
79,KHM,340153744028.0937,3004679069382.461,3715102558778.3,3374948814750.206
80,KIR,17376465021.30287,21659643952.83071,27898192213.743057,10521727192.440186
81,KOR,6474338160564.504,10012811805028.887,10397355500062.959,3923017339498.455
82,KWT,1079883948092.7208,757732923082.6467,988753657448.0013,-91130290644.71948
83,LBN,709722901885.1334,1108313797000.6006,1063147698835.9412,353424796950.80774
84,LBY,711465500083.1472,1225730742953.6218,1453915273685.0684,742449773601.9211
85,LCA,19828152195.859386,34780597220.66054,36449219111.87064,16621066916.011257
86,LKA,943148921749.509,4078914918965.2217,4257691619418.0796,3314542697668.5703
87,LTU,1025730131145.1553,574081304477.0276,522786754110.4008,-502943377034.75446
88,LVA,686243735123.9811,391107880550.24786,338287024776.1888,-347956710347.7923
89,MAR,6275866749613.765,6763406385288.255,8084247759899.685,1808381010285.92
90,MDA,544816022799.89923,802393693108.9277,757448606615.4655,212632583815.56622
91,MDG,3057017125077.406,4604227138313.236,6942255977276.541,3885238852199.1353
92,MDV,43777616358.19175,81297631091.81204,102546111545.00922,58768495186.81747
93,MEX,10481826075545.898,24427736685785.81,28967868670700.902,18486042595155.004
94,MKD,483986979458.9541,413028127159.4453,412732043068.23364,-71254936390.72046
95,MLI,2857216530921.3867,3282493267047.6226,5239746823644.269,2382530292722.882
96,MLT,71135806968.23468,84269694933.81047,87095389317.35225,15959582349.117569
97,MNG,1965738613429.9285,574228329919.433,705070431677.525,-1260668181752.4033
98,MRT,589868836874.4323,795058653330.5745,1190793755846.14,600924918971.7076
99,MUS,141911562314.69595,250481823168.73218,255842862255.3735,113931299940.67755
100,MWI,14850053106020.096,3316699474339.9976,5166080396309.1875,-9683972709710.908
101,MYS,2064561126093.5012,6022692046286.911,7332204678032.701,5267643551939.2
102,NAM,270429190613.265,464151183825.7498,636451810162.4012,366022619549.1362
103,NER,1390134149008.6482,3696028938290.552,6751044649283.478,5360910500274.829
104,NGA,20928838559133.89,34399395223054.176,51500978301752.67,30572139742618.78
105,NIC,274554769976.0372,1180575013326.1406,1381766414552.2546,1107211644576.2175
106,NLD,2744284686738.6304,3307113040907.4453,3419493532270.7397,675208845532.1094
107,NOR,1260280974984.4614,1002342234526.5483,1158609511644.8254,-101671463339.63599
108,NPL,908145307665.6652,5592396536959.036,6558130386207.768,5649985078542.103
109,NZL,4104593613431.4497,891874078423.6606,1013558583703.1832,-3091035029728.2666
110,OMN,658150013554.538,800558641667.5978,1200639083071.1626,542489069516.62463
111,PAK,19836375980524.832,36461504200028.68,48091720932771.85,28255344952247.02
112,PAN,229113511266.98514,766220192108.9164,956821658673.8636,727708147406.8785
