,ISO3,Supply-BaU2,Protein (g/year),Pr2030,BaU_needed2030
117,PRT,510922054420.97217,196546855199.46527,185220158238.4282,-325701896182.54395
118,PRY,439396495335.1522,110808828387.06862,136177277625.9432,-303219217709.209
119,QAT,6770621008.751053,38859050792.859344,53465972331.683784,46695351322.93273
120,ROU,763178960726.1478,378080760948.8335,349474216216.28687,-413704744509.86096
121,RUS,7708592517826.776,2717775294043.1226,2625594146802.8306,-5082998371023.945
122,RWA,212469637908.72394,165922507326.6057,243701870482.38324,31232232573.6593
123,SAU,978344894516.0486,473203202413.8453,623843394672.4407,-354501499843.6079
124,SEN,472791184702.3911,209389654138.30063,327788963260.11676,-145002221442.27435
125,SGP,159517771763.45377,88047841269.83253,102322900778.05544,-57194870985.39833
126,SLB,21461713678.93477,9731111808.781584,13628801564.14378,-7832912114.790989
127,SLE,153384490066.21173,102692897380.90778,145811642551.62308,-7572847514.588654
128,SLV,151297382303.9151,107072601887.2606,118702551037.85855,-32594831266.05655
129,STP,3243708403.893731,2746334049.6009526,3976014161.0003366,732305757.1066055
130,SUR,20507926617.694054,9486375676.906584,10899818696.304712,-9608107921.389341
131,SVK,235200132365.22018,103807901661.3296,102564583070.52788,-132635549294.6923
132,SVN,70109692324.24263,38954764136.49365,38335362988.70881,-31774329335.53382
133,SWE,379913142628.16266,178959280568.3721,196664793983.64728,-183248348644.51538
134,SWZ,11331727772.453653,19364994214.517788,25642490260.93689,14310762488.483236
135,SYC,14617644817.831692,1504730450.8181903,1597218849.0960445,-13020425968.735647
136,SYR,645961444457.8579,281310957743.5541,402749535040.5153,-243211909417.3426
137,TGO,155484686053.9284,105156810305.83029,157245383825.84055,1760697771.91214
138,THA,1837368797302.24,1092090846491.7343,1117185503110.7427,-720183294191.4973
139,TON,3336967456.8336973,1815613745.391947,2148799737.5662947,-1188167719.2674026
140,TTO,43641287835.49587,24359374692.328533,25141983022.23017,-18499304813.2657
141,TUN,460641269492.82275,178870082390.0402,208653452935.09332,-251987816557.72943
142,TUR,4139703113186.8887,1187783077220.1116,1389287962415.3823,-2750415150771.5063
143,TZA,1765251429031.255,740818336464.6907,1215050100556.1868,-550201328475.0681
144,UGA,720689913802.3258,538995872116.1709,912187952862.5057,191498039060.17993
145,UKR,3060729699983.208,855000617129.8442,781320042554.6616,-2279409657428.5464
146,URY,273822453054.55774,59509445316.14828,63006251701.435425,-210816201353.1223
147,USA,22069461906622.664,6560549386556.06,7303485117106.711,-14765976789515.953
148,VCT,12564324544.251598,1917232135.4245536,2007501239.418854,-10556823304.832745
149,VEN,840998410568.7571,527574531505.0597,646886776345.6631,-194111634223.094
150,VUT,19702570684.46505,4473539258.818413,6347799927.160055,-13354770757.304995
151,YEM,565982806770.1152,374439561947.6344,543826604290.7026,-22156202479.41266
152,ZAF,1282267672102.374,857006911126.9641,1033409917051.7091,-248857755050.66492
153,ZMB,265227682989.77402,221896951116.2889,360440280731.5864,95212597741.81241
154,ZWE,166854099379.07025,223531979966.83206,324933728192.5634,158079628813.49316
