,ISO3,Supply-BaU2,Zinc - mod (mg/day),ZnM2030,BaU_needed2030
127,SLE,24048810444.90666,15562741331.326565,21368148401.30231,-2680662043.604347
128,SLV,25275835568.390007,13710410885.271118,14575237368.800322,-10700598199.589685
129,STP,527510745.6573915,417948916.1904762,586893452.5077827,59382706.85039121
130,SUR,1984167345.4515321,1206068060.7364497,1348101508.441347,-636065837.0101852
131,SVK,46822344903.913155,11654078998.650534,11493304691.567238,-35329040212.34592
132,SVN,11803460295.024588,4370571443.265715,4315854362.232752,-7487605932.791836
133,SWE,67983460852.03521,20447491870.9224,22614096114.711403,-45369364737.32381
134,SWZ,2102369057.480858,2846037593.330305,3655586260.3342495,1553217202.8533914
135,SYC,424769368.12498003,201809256.1687619,211951601.74903432,-212817766.37594572
136,SYR,129031987627.87117,42693199564.98044,58204497591.465454,-70827490036.40572
137,TGO,27297534103.329792,15850680623.98298,23098148015.810165,-4199386087.5196266
138,THA,256534169971.0338,148892603439.71835,148856843644.7479,-107677326326.28592
139,TON,880385262.0325867,232434431.2875257,264225904.21991754,-616159357.8126692
140,TTO,7304076565.705211,2947983044.1740766,2983468369.8739047,-4320608195.831306
141,TUN,91326035097.90747,24181621447.36862,27945952343.354515,-63380082754.552956
142,TUR,901220364445.7478,168571619686.69565,192145431462.3775,-709074932983.3704
143,TZA,355819379548.16675,113710676693.28105,182840072431.97714,-172979307116.1896
144,UGA,121551482933.2762,84582679925.38553,139236291159.16418,17684808225.887985
145,UKR,624358254977.4331,94759902714.59631,87289660986.6698,-537068593990.7633
146,URY,46492051323.0418,7280698373.603523,7592086966.050877,-38899964356.99092
147,USA,3792330832824.966,681951556038.9814,751167447815.3479,-3041163385009.618
148,VCT,1403316850.1046815,240944704.25517145,243378554.66567042,-1159938295.439011
149,VEN,143689205426.95526,67514903531.69097,80142535590.30255,-63546669836.65271
150,VUT,2641875434.1491656,569162258.5014285,777868850.7676986,-1864006583.3814669
151,YEM,118479891780.84447,57898920711.04928,81146571539.65381,-37333320241.19066
152,ZAF,233328597946.48416,119875936786.75096,141442464466.8484,-91886133479.63577
153,ZMB,50703740896.97074,34207242838.675255,54246805455.95038,3543064558.979637
154,ZWE,31311743293.914623,33536484927.855522,47222089925.84324,15910346631.928616
