,ISO3,Supply-BaU2,Supply-HalfW2,Protein (g/year),Pr2030,BaU_needed,BaU_needed_low,BaU_needed_high,HalfW_needed,HalfW_needed_low,HalfW_needed_high,BaU_needed2030,BaU_needed2030_low,BaU_needed2030_high,HalfW_needed2030,HalfW_needed2030_low,HalfW_needed2030_high
38,CUB,149308199460.86642,174950053659.60568,207711468304.48642,207426902765.15982,58403268843.619995,58403268843.619995,58403268843.619995,32761414644.880737,32761414644.880737,32761414644.880737,58118703304.293396,58118703304.293396,58118703304.293396,32476849105.55414,32476849105.55414,32476849105.55414
39,CYP,42164772777.95049,47879915027.194,18318240968.07905,20436366647.592453,-23846531809.871445,-23846531809.871445,-23846531809.871445,-29561674059.114952,-29561674059.114952,-29561674059.114952,-21728406130.35804,-21728406130.35804,-21728406130.35804,-27443548379.601547,-27443548379.601547,-27443548379.601547
40,CZE,465308466683.23834,579237283653.3036,201458738146.5032,199826418769.69275,-263849728536.73514,-263849728536.73514,-263849728536.73514,-377778545506.8004,-377778545506.8004,-377778545506.8004,-265482047913.5456,-265482047913.5456,-265482047913.5456,-379410864883.61084,-379410864883.61084,-379410864883.61084
41,DEU,3287599049470.14,4005282335309.8086,1538704443366.0142,1528675146881.1545,-1748894606104.126,-1748894606104.126,-1748894606104.126,-2466577891943.7944,-2466577891943.7944,-2466577891943.7944,-1758923902588.9856,-1758923902588.9856,-1758923902588.9856,-2476607188428.6543,-2476607188428.6543,-2476607188428.6543
42,DJI,2919393721.426929,3500836630.541951,14167755222.058058,18071514421.88484,11248361500.631128,11248361500.631128,11248361500.631128,10666918591.516106,10666918591.516106,10666918591.516106,15152120700.457909,15152120700.457909,15152120700.457909,14570677791.342888,14570677791.342888,14570677791.342888
43,DNK,363988579781.4073,466291416481.22455,106125297389.92883,112577160725.68097,-257863282391.47845,-257863282391.47845,-257863282391.47845,-360166119091.2957,-360166119091.2957,-360166119091.2957,-251411419055.72632,-251411419055.72632,-251411419055.72632,-353714255755.5436,-353714255755.5436,-353714255755.5436
44,DZA,1529468088717.1313,1727109943722.2588,608586540674.2433,782047717422.7317,-920881548042.8881,-920881548042.8881,-920881548042.8881,-1118523403048.0156,-1118523403048.0156,-1118523403048.0156,-747420371294.3997,-747420371294.3997,-747420371294.3997,-945062226299.5271,-945062226299.5271,-945062226299.5271
45,ECU,357716942568.54846,432097474331.85046,270157186981.01355,340483681070.6333,-87559755587.53491,-87559755587.53491,-87559755587.53491,-161940287350.8369,-161940287350.8369,-161940287350.8369,-17233261497.91516,-17233261497.91516,-17233261497.91516,-91613793261.21716,-91613793261.21716,-91613793261.21716
46,EGY,3217123975750.6826,3696275866893.551,1404633065720.661,1877985608148.7458,-1812490910030.0217,-1812490910030.0217,-1812490910030.0217,-2291642801172.8896,-2291642801172.8896,-2291642801172.8896,-1339138367601.9368,-1339138367601.9368,-1339138367601.9368,-1818290258744.805,-1818290258744.805,-1818290258744.805
47,ESP,2258258881063.998,2655905716118.5454,864987563724.1301,853771272057.5521,-1393271317339.868,-1393271317339.868,-1393271317339.868,-1790918152394.4153,-1790918152394.4153,-1790918152394.4153,-1404487609006.4458,-1404487609006.4458,-1404487609006.4458,-1802134444060.9932,-1802134444060.9932,-1802134444060.9932
