,ISO3,Supply-BaU2,Supply-HalfW2,Folate (ug DFE/day),Ft2030,BaU_needed,BaU_needed_low,BaU_needed_high,HalfW_needed,HalfW_needed_low,HalfW_needed_high,BaU_needed2030,BaU_needed2030_low,BaU_needed2030_high,HalfW_needed2030,HalfW_needed2030_low,HalfW_needed2030_high
10,BEN,1897707487780.0615,2311684166955.6655,1280879755027.1902,1971479707672.833,-616827732752.8713,-616827732752.8713,-616827732752.8713,-1030804411928.4753,-1030804411928.4753,-1030804411928.4753,73772219892.77148,73772219892.77148,73772219892.77148,-340204459282.8325,-340204459282.8325,-340204459282.8325
11,BFA,5100000707419.015,5951617082042.325,2168559973679.8945,3430542809411.7295,-2931440733739.12,-2931440733739.12,-2931440733739.12,-3783057108362.4307,-3783057108362.4307,-3783057108362.4307,-1669457898007.2852,-1669457898007.2852,-1669457898007.2852,-2521074272630.5957,-2521074272630.5957,-2521074272630.5957
12,BGD,10095876019313.09,11436032734743.994,21041999543613.26,24899000485269.586,10946123524300.172,10946123524300.172,10946123524300.172,9605966808869.268,9605966808869.268,9605966808869.268,14803124465956.496,14803124465956.496,14803124465956.496,13462967750525.592,13462967750525.592,13462967750525.592
13,BGR,1259378155959.772,1852586233507.9822,976454024610.227,866874442198.1006,-282924131349.5449,-282924131349.5449,-282924131349.5449,-876132208897.7551,-876132208897.7551,-876132208897.7551,-392503713761.6714,-392503713761.6714,-392503713761.6714,-985711791309.8816,-985711791309.8816,-985711791309.8816
14,BHR,14999086787.429358,18190296949.546673,182175841971.113,277543023714.0829,167176755183.68365,167176755183.68365,167176755183.68365,163985545021.56635,163985545021.56635,163985545021.56635,262543936926.65353,262543936926.65353,262543936926.65353,259352726764.53622,259352726764.53622,259352726764.53622
15,BHS,44189397391.8602,50249433001.58751,51672404547.87695,59635352352.57769,7483007156.016754,7483007156.016754,7483007156.016754,1422971546.289444,1422971546.289444,1422971546.289444,15445954960.717491,15445954960.717491,15445954960.717491,9385919350.990181,9385919350.990181,9385919350.990181
16,BIH,388878875717.64734,476451703191.7605,486551996928.174,458519779508.7328,97673121210.52667,97673121210.52667,97673121210.52667,10100293736.413513,10100293736.413513,10100293736.413513,69640903791.08545,69640903791.08545,69640903791.08545,-17931923683.02771,-17931923683.02771,-17931923683.02771
17,BLR,1747800429438.4492,2162209899797.8118,1277430814471.9248,1227663566619.1516,-470369614966.5244,-470369614966.5244,-470369614966.5244,-884779085325.887,-884779085325.887,-884779085325.887,-520136862819.2976,-520136862819.2976,-520136862819.2976,-934546333178.6602,-934546333178.6602,-934546333178.6602
18,BLZ,6735346189.112253,19793933060.77926,45935637668.29093,62622423364.32587,39200291479.17868,39200291479.17868,39200291479.17868,26141704607.511673,26141704607.511673,26141704607.511673,55887077175.213615,55887077175.213615,55887077175.213615,42828490303.54661,42828490303.54661,42828490303.54661
19,BOL,3079158304177.9004,3551235375609.4316,1367719320613.4065,1722770230516.0713,-1711438983564.494,-1711438983564.494,-1711438983564.494,-2183516054996.0251,-2183516054996.0251,-2183516054996.0251,-1356388073661.829,-1356388073661.829,-1356388073661.829,-1828465145093.3604,-1828465145093.3604,-1828465145093.3604
