,ISO3,FBS Code2,EnergyI-BaU_high,EnergyI-HalfW_high,ProteinI-BaU_high,ProteinI-HalfW_high,IronI-BaU_high,IronI-HalfW_high,ZincI-BaU_high,ZincI-HalfW_high,Vitamin AI-BaU_high,Vitamin AI-HalfW_high,Vitamin BI-BaU_high,Vitamin BI-HalfW_high,FolateI-BaU_high,FolateI-HalfW_high
1487,NAM,960.0,1.3610082656508584e-08,1.177785002553541e-08,2.635603228291913e-07,2.2807899358931816e-07,2.7673835353459217e-05,2.394829558720812e-05,2.243824409047663e-06,1.9417536278342087e-06,1.8048153087978777e-08,1.5618453294731738e-08,1.844922364533805e-06,1.5965530457556789e-06,1.6604300840940472e-07,1.43689770311532e-07
1488,NAM,976.0,2.938437989087408e-08,2.485649346863448e-08,3.9619274685907173e-07,3.351427684094623e-07,2.4350137703844324e-06,2.0597985768075787e-06,1.928723901959021e-06,1.6315237296102605e-06,4.21046928847118e-09,3.561671294662015e-09,3.1662375317173285e-07,2.6783468910881975e-07,1.0656442511344726e-07,9.014374122095513e-08
1489,NAM,1016.0,9.843871428782077e-08,8.327013426326922e-08,6.735296129698857e-07,5.697443501578645e-07,4.060944450836672e-06,3.43518698007503e-06,3.3764245470708257e-06,2.856145850730309e-06,inf,inf,9.824270566618048e-06,8.310432892581812e-06,2.6570517295357556e-06,2.2476223492312353e-06
1490,NAM,1049.0,1.8330230438697704e-09,1.5505695708744843e-09,3.707511744754056e-08,3.136215288891827e-08,1.3111506007915533e-07,1.109113293049043e-07,2.283766361756534e-07,1.931857124965853e-07,1.8574633511213673e-07,1.5712438318194774e-07,9.607569333978818e-07,8.127123501886963e-07,1.8574633511213673e-07,1.5712438318194774e-07
1491,NAM,1052.0,4.271095041309787e-09,3.6129551276052413e-09,4.862791166418916e-08,4.113475843843296e-08,3.490094805184569e-07,2.952300475700283e-07,4.7346248757244967e-07,4.00505890329951e-07,3.817291193170622e-09,3.2290786452971847e-09,6.862546075553375e-07,5.805085298334727e-07,1.299503384909148e-08,1.099260815420318e-08
1492,NAM,1053.0,2.2302598921482623e-09,1.8865955534340766e-09,1.8287107500621126e-08,1.54692176536479e-08,3.8893556995010426e-07,3.290038615784048e-07,2.1695725059184e-07,1.8352595842881165e-07,inf,inf,5.695127914631735e-07,4.817556482008535e-07,3.189271645772015e-07,2.6978316414107293e-07
1493,NAM,2731.0,5.243382264177082e-08,4.435421046388964e-08,8.890192321464603e-07,7.520288268598748e-07,6.769807206379505e-06,5.726636710871944e-06,4.2491382139643234e-06,3.5943816631478898e-06,inf,inf,5.708333546670918e-06,4.828727236938541e-06,2.236163216130135e-06,1.8915892247160153e-06
1494,NAM,2735.0,1.2857775188160823e-08,1.0876499901396526e-08,1.0063400928814366e-07,8.512715272137181e-08,6.697885700393476e-07,5.665797705576096e-07,9.446766094206699e-07,7.991098692312124e-07,8.653418875935841e-08,7.319999624625711e-08,6.655148211038053e-07,5.629645704786083e-07,1.7459297338857701e-07,1.4768966092935802e-07
1495,SWZ,960.0,2.029893980062701e-08,1.7566231938703562e-08,3.9309056836514593e-07,3.4017146533956775e-07,4.127451185049882e-05,3.571800574039022e-05,3.346581924001355e-06,2.896054417436362e-06,2.6918159300831468e-08,2.3294351049150377e-08,2.7516341347561836e-06,2.381200392548974e-06,2.476470655676495e-07,2.143080296521835e-07
1496,SWZ,976.0,1.4325514711000516e-08,1.2118073077301864e-08,1.838471591324492e-07,1.555178542876779e-07,1.0095946999227138e-06,8.540246266143153e-07,8.852313616329587e-07,7.488246354143332e-07,1.528495779564279e-09,1.2929674031805718e-09,1.178442392991089e-07,9.968543067210415e-08,4.1261461867098476e-08,3.4903416754572034e-08
1497,SWZ,1016.0,3.1252185886621246e-08,2.6436486230312082e-08,2.0334468695417113e-07,1.7201097664571226e-07,1.2733385098328828e-06,1.0771277280842533e-06,1.0252729208119175e-06,8.672869651962273e-07,inf,inf,3.1001047994949446e-06,2.6224046580836765e-06,8.096299913374215e-07,6.848728020270152e-07
1498,SWZ,1049.0,2.2516498652399873e-09,1.9046895111225913e-09,4.554235337285938e-08,3.852465879364348e-08,1.6105919036069555e-07,1.3624132032500416e-07,2.8053341925438734e-07,2.3730557286989096e-07,2.281671863443187e-07,1.9300853712708924e-07,1.1801751357400926e-06,9.983200483491914e-07,2.281671863443187e-07,1.9300853712708924e-07
1499,SWZ,1052.0,2.9999881891432325e-09,2.5377151774633276e-09,3.4155915343558106e-08,2.8892775338643697e-08,2.451418920271327e-07,2.0736758307271762e-07,3.3255684010350307e-07,2.8131262101432613e-07,2.681239444046764e-09,2.268082939857849e-09,4.820205819582494e-07,4.0774525416865e-07,9.127623639308134e-09,7.721133412282039e-09
1500,SWZ,1053.0,4.062687786978795e-09,3.4366616827432933e-09,3.33121752148708e-08,2.817904848526694e-08,7.084931202506162e-07,5.993202742914189e-07,3.95213838252251e-07,3.3431470140644255e-07,inf,inf,1.0374363411866547e-06,8.7757610453569e-07,5.809643535379677e-07,4.914426206322909e-07
1501,SWZ,2731.0,2.718518964392914e-08,2.29961799887353e-08,4.62288584910658e-07,3.9105379232538346e-07,3.3094931743706623e-06,2.7995280410454755e-06,2.1989146044926003e-06,1.8600803116362596e-06,inf,inf,2.958519769382082e-06,2.502636693289913e-06,1.1691200330080372e-06,9.889684442018548e-07
1502,BEN,960.0,3.545730566638846e-08,3.0683930361626505e-08,6.866335175134035e-07,5.941967286959368e-07,7.209652313313941e-05,6.239065979651382e-05,5.845663831825401e-06,5.058701967398502e-06,4.7019470557602084e-08,4.0689559827374276e-08,4.806434895437478e-06,4.15937733698413e-06,4.3257912912993913e-07,3.7434395041184334e-07
1503,BEN,976.0,4.566067067750085e-08,3.8624744394257455e-08,6.106888595108921e-07,5.165868296072044e-07,3.6799785557968494e-06,3.112924733364465e-06,2.9674501803785882e-06,2.510191002873142e-06,6.201483412528558e-09,5.245886845726314e-09,4.6870395162536394e-07,3.9648060485078613e-07,1.5898284636050825e-07,1.3448492351585039e-07
