,ISO3,FBS Code2,EnergyI-BaU_low,EnergyI-HalfW_low
671,BHS,2919.0,3.158216606720012e-11,2.2641929985147175e-11
672,BLZ,2514.0,4.117126106288819e-11,3.597137547774153e-11
673,BLZ,2555.0,2.1999475532282005e-11,1.9751903853947227e-11
674,BLZ,2805.0,1.3076445744447928e-10,1.1424904840037816e-10
675,BLZ,2903.0,7.26016427161239e-11,6.518431152884653e-11
676,BLZ,2905.0,1.912711967279262e-10,1.671138521860604e-10
677,BLZ,2907.0,4.1376521734606805e-10,3.256633603687771e-10
679,BLZ,2913.0,4.505161294024423e-10,4.0448924609824275e-10
680,BLZ,2918.0,1.2532026579018316e-09,8.984477751474622e-10
681,BLZ,2919.0,2.3582781078693072e-11,1.6906999884133015e-11
682,BOL,2511.0,8.501219662728479e-11,7.427524846510329e-11
683,BOL,2514.0,4.865707571520714e-11,4.2511739864541155e-11
684,BOL,2555.0,1.8009947747124434e-11,1.616996531548292e-11
685,BOL,2805.0,2.5967328788090257e-10,2.2687683346972888e-10
686,BOL,2903.0,1.0483314000805601e-10,9.412288484368798e-11
687,BOL,2905.0,1.09724590646165e-11,9.586649394211698e-12
688,BOL,2907.0,2.1517023280218742e-11,1.693546439576244e-11
690,BOL,2913.0,3.219875026730226e-11,2.8909171882928107e-11
691,BOL,2918.0,7.006573072365392e-10,5.023162015004217e-10
692,BOL,2919.0,8.441024997122178e-11,6.051551264123321e-11
693,BRA,2511.0,3.761502819142733e-11,3.2864290958027485e-11
694,BRA,2514.0,2.3224162227624072e-11,2.02909757456733e-11
695,BRA,2555.0,2.3783067534504906e-11,2.1353275563508226e-11
696,BRA,2805.0,1.2427710964883165e-10,1.0858104558998356e-10
697,BRA,2903.0,1.49546696550495e-10,1.3426829051476018e-10
698,BRA,2905.0,2.1772030098244915e-11,1.9022246328097242e-11
699,BRA,2907.0,1.949711251320558e-11,1.5345647513014668e-11
701,BRA,2913.0,1.018388173763505e-11,9.143447653857368e-12
702,BRA,2918.0,2.875828771689636e-10,2.0617431229802023e-10
703,BRA,2919.0,7.619968774375689e-11,5.462918506327695e-11
704,BRB,2514.0,2.777919863604984e-09,2.4270715999730315e-09
705,BRB,2903.0,1.6475617863106556e-10,1.4792389913519897e-10
706,BRB,2907.0,1.2581914553224154e-10,9.902883088040547e-11
708,BRB,2913.0,7.662711907737151e-11,6.879852596486915e-11
709,BRB,2918.0,6.073022120327291e-10,4.353879380981006e-10
710,BRB,2919.0,2.9014332732292005e-10,2.080099537481027e-10
711,CHL,2511.0,4.274405866666993e-11,3.734553045127287e-11
712,CHL,2514.0,4.040158097931684e-11,3.529890515331804e-11
713,CHL,2805.0,3.0739030061361587e-10,2.685672392861252e-10
714,CHL,2903.0,6.682111949770699e-10,5.999435421972168e-10
715,CHL,2905.0,1.7563220350260764e-11,1.5345004683060875e-11
716,CHL,2907.0,5.6003815892276895e-11,4.4079081837608533e-11
718,CHL,2913.0,9.328900904232674e-12,8.375815753108158e-12
719,CHL,2918.0,8.003422357380737e-11,5.737824577066491e-11
720,CHL,2919.0,6.220870557204431e-11,4.4598750859324246e-11
721,COL,2511.0,2.264070083065039e-09,1.9781204889851095e-09
722,COL,2514.0,3.931498189637498e-11,3.434954235516213e-11
723,COL,2555.0,4.0394713261829226e-11,3.626779608380302e-11
724,COL,2805.0,3.943357804767601e-10,3.4453159941277553e-10
725,COL,2903.0,5.3730030361913124e-11,4.824071338522894e-11
726,COL,2905.0,3.3238269638096713e-10,2.9040312259469057e-10
727,COL,2907.0,5.4101091004088855e-12,4.258149877608609e-12
729,COL,2913.0,3.325547076763629e-12,2.9857932760998346e-12
730,COL,2918.0,2.8709963840741342e-11,2.0582786809967592e-11
731,COL,2919.0,9.995802617944345e-12,7.166204576952604e-12
732,CRI,2514.0,5.503655728300843e-10,4.80854998345889e-10
733,CRI,2805.0,9.035387822957676e-11,7.894228147886227e-11
734,CRI,2903.0,1.5239710299801391e-10,1.3682748580164094e-10
735,CRI,2907.0,1.0637539055144249e-11,8.372517963139761e-12
737,CRI,2913.0,2.8201419741748963e-12,2.5320227769359637e-12
738,CRI,2918.0,1.712875276244519e-10,1.2279969016531827e-10
739,CRI,2919.0,6.2141167958434234e-12,4.4550331700376454e-12
740,ECU,2511.0,1.1985696145725447e-09,1.0471915731739422e-09
741,ECU,2514.0,2.5393974852262004e-11,2.2186743390924033e-11
742,ECU,2555.0,4.837040602139449e-11,4.342865391081754e-11
743,ECU,2805.0,4.3074825123069885e-10,3.7634521463241896e-10
744,ECU,2903.0,3.313749403747051e-11,2.975200909805383e-11
745,ECU,2905.0,1.156275144539654e-10,1.0102388487999835e-10
746,ECU,2907.0,2.1357006041688796e-11,1.6809519175062532e-11
748,ECU,2913.0,1.370181706752108e-12,1.2301973878646203e-12
749,ECU,2918.0,2.824366270969917e-10,2.0248485561009973e-10
750,ECU,2919.0,4.265424469345226e-12,3.0579739839994492e-12
751,GRD,2514.0,1.6249577493915803e-10,1.4197273493650408e-10
752,GRD,2903.0,2.6964547779645413e-11,2.4209720564800915e-11
753,GRD,2907.0,1.0612075910810813e-11,8.352476614081059e-12
755,GRD,2913.0,2.4735504638085423e-12,2.2208407135588163e-12
756,GRD,2918.0,1.6737677446287534e-10,1.199959876236623e-10
757,GRD,2919.0,9.378939965073647e-12,6.723962554444338e-12
758,GTM,2511.0,4.842146867698885e-09,4.230588973952305e-09
759,GTM,2514.0,3.152056949614336e-11,2.7539555781060635e-11
760,GTM,2555.0,5.387936352941511e-11,4.837478996184443e-11
761,GTM,2805.0,3.968220434761104e-10,3.467038500938862e-10
762,GTM,2903.0,1.9995750874059818e-11,1.7952889293763182e-11
763,GTM,2905.0,1.2590321620792919e-10,1.1000177665563562e-10
764,GTM,2907.0,2.2361890607991893e-11,1.7600436513992154e-11
766,GTM,2913.0,3.132069829140594e-12,2.8120825897987545e-12
767,GTM,2918.0,8.177333768944725e-11,5.862505385718797e-11
768,GTM,2919.0,8.419129500054644e-12,6.0358539142158365e-12
769,GUY,2514.0,6.522698738483212e-10,5.698888967519791e-10
770,GUY,2805.0,5.561981742056004e-10,4.859509484983559e-10
771,GUY,2903.0,8.416909054316705e-10,7.55699735406539e-10
772,GUY,2907.0,7.555401788185465e-11,5.946651463500857e-11
774,GUY,2913.0,1.721980046472513e-11,1.5460543259965865e-11
775,GUY,2918.0,3.266209313955851e-10,2.341615278890851e-10
776,GUY,2919.0,1.172603047975721e-10,8.40664191814574e-11
777,HND,2511.0,2.4094020552635812e-09,2.1050971908376252e-09
778,HND,2514.0,4.18422518676662e-11,3.655762087216639e-11
779,HND,2555.0,5.150823352600855e-10,4.624590594441542e-10
780,HND,2805.0,1.31831834102983e-10,1.1518161654543855e-10
781,HND,2903.0,2.812246649110823e-11,2.5249340760561448e-11
782,HND,2905.0,6.127672783456811e-11,5.353754361853881e-11
783,HND,2907.0,5.4437563440927337e-11,4.2846327089000187e-11
785,HND,2913.0,1.316155731988401e-12,1.1816909651736502e-12
786,HND,2918.0,1.0084233735608685e-10,7.229602735597073e-11
787,HND,2919.0,1.586438871231842e-11,1.1373519400701365e-11
788,JAM,2514.0,8.928430188614205e-10,7.800779146669015e-10
789,JAM,2805.0,7.097179496266878e-08,6.200813429134134e-08
790,JAM,2903.0,3.6552397151456325e-10,3.2818029371083324e-10
791,JAM,2907.0,6.2203685398906235e-12,4.8958830672774875e-12
793,JAM,2913.0,3.3188618465974537e-12,2.979791041033365e-12
794,JAM,2918.0,1.165628924150041e-10,8.356642933581857e-11
795,JAM,2919.0,3.6688371355772554e-11,2.6302677711811732e-11
796,LCA,2903.0,4.3675864580356084e-10,3.921372928474202e-10
797,LCA,2907.0,3.5186308051891985e-11,2.7694187038361005e-11
798,LCA,2913.0,6.8495823508371776e-12,6.149796245592399e-12
799,LCA,2918.0,1.1047836925856033e-09,7.920430461618816e-10
800,LCA,2919.0,5.45771150685536e-11,3.9127500486956434e-11
801,MEX,2511.0,2.2848202700002178e-11,1.9962499498325318e-11
802,MEX,2514.0,5.963595726566115e-11,5.210400059160003e-11
803,MEX,2555.0,2.0740635809920225e-11,1.862167322062447e-11
804,MEX,2805.0,2.043007965383827e-10,1.7849782768272354e-10
805,MEX,2903.0,4.5010084691731996e-11,4.0411639085874727e-11
806,MEX,2905.0,6.54736282211679e-12,5.720438004160729e-12
807,MEX,2907.0,1.7957466011485205e-11,1.4133833584462718e-11
809,MEX,2913.0,6.28529222347437e-12,5.6431566975246984e-12
810,MEX,2918.0,8.396681114404656e-11,6.019760186664499e-11
811,MEX,2919.0,5.937640802112928e-11,4.256821619908372e-11
812,NIC,2514.0,5.5688115525108045e-11,4.865476697790964e-11
813,NIC,2555.0,9.241358307634188e-11,8.29721692703156e-11
814,NIC,2805.0,5.6193067403298436e-11,4.909594398195701e-11
815,NIC,2903.0,1.3929581765155168e-11,1.2506469045014616e-11
816,NIC,2905.0,2.0283676371950318e-11,1.7721870061981404e-11
817,NIC,2907.0,4.274587813913259e-12,3.3644119256793436e-12
819,NIC,2913.0,3.5478737421216334e-12,3.185405985588118e-12
820,NIC,2918.0,2.7702200958607345e-10,1.9860300056831125e-10
821,NIC,2919.0,3.437194908895144e-11,2.4641985070597678e-11
822,PAN,2514.0,3.715690018211164e-11,3.2464024019038344e-11
823,PAN,2555.0,6.970990861979031e-10,6.258801082348888e-10
824,PAN,2805.0,5.3603546735424995e-11,4.683347696378224e-11
825,PAN,2903.0,7.289399731801637e-11,6.544679778581959e-11
827,PAN,2907.0,1.3380983225638317e-11,1.0531808329009177e-11
829,PAN,2913.0,9.477459164410195e-12,8.509196590639047e-12
830,PAN,2918.0,1.7496345705856571e-10,1.2543504255693228e-10
831,PAN,2919.0,7.696022554810477e-12,5.5174430873221135e-12
832,PER,2511.0,5.5314442950092756e-11,4.832828884353629e-11
833,PER,2514.0,2.8246132345221363e-11,2.467867648824116e-11
834,PER,2555.0,7.144584348747733e-10,6.414659427939694e-10
835,PER,2805.0,2.5664341573046197e-10,2.242296308832797e-10
836,PER,2903.0,2.5024974753268794e-11,2.2468303598815342e-11
837,PER,2905.0,1.2758661019690358e-11,1.114725598109506e-11
838,PER,2907.0,4.908474306354945e-12,3.863326760872651e-12
840,PER,2913.0,1.0771272377114421e-11,9.670827655197864e-12
841,PER,2918.0,5.2092594878412156e-11,3.7346294851086816e-11
842,PER,2919.0,9.517303056085746e-12,6.823158012176989e-12
843,PRY,2511.0,1.514321077875291e-11,1.323063969376728e-11
844,PRY,2514.0,1.677099265562577e-11,1.4652834486378006e-11
845,PRY,2555.0,1.681608598395436e-11,1.5098074182149476e-11
846,PRY,2805.0,1.8911820761218773e-10,1.6523278325879526e-10
847,PRY,2903.0,5.3205701641510466e-11,4.776995259558833e-11
848,PRY,2905.0,1.2456222173852403e-10,1.0883014833220717e-10
849,PRY,2907.0,1.2172973326714523e-12,9.581016559788928e-13
851,PRY,2913.0,5.62710901435063e-12,5.052216634166469e-12
852,PRY,2918.0,4.0630805794827714e-10,2.912909323854237e-10
853,PRY,2919.0,8.29133822409801e-11,5.944237616690008e-11
854,SLV,2514.0,3.1424933817143e-11,2.7455998784515488e-11
855,SLV,2555.0,1.9172883821783418e-11,1.721409027660959e-11
856,SLV,2805.0,2.396674967571028e-10,2.0939775205067196e-10
857,SLV,2903.0,5.137137668316182e-11,4.612303105143459e-11
858,SLV,2905.0,2.3630594470048838e-11,2.0646076037019493e-11
859,SLV,2907.0,5.195008542900578e-11,4.0888500731816854e-11
861,SLV,2913.0,3.850997686823143e-11,3.457561337782206e-11
862,SLV,2918.0,8.845006763952412e-10,6.341174428677122e-10
863,SLV,2919.0,1.563053820862159e-10,1.1205866975581796e-10
864,SUR,2514.0,4.31574943435004e-09,3.770674965086082e-09
865,SUR,2555.0,7.588480156024788e-09,6.813204715696252e-09
866,SUR,2805.0,5.111248695231542e-10,4.465703532749466e-10
867,SUR,2903.0,2.5024166651293686e-09,2.2467578056404428e-09
868,SUR,2907.0,3.221818830724429e-11,2.5358060632621042e-11
870,SUR,2913.0,2.322845848544563e-11,2.085532802846481e-11
871,SUR,2918.0,3.4867969154929796e-10,2.499759245931234e-10
872,SUR,2919.0,1.5546617284260546e-11,1.1145702270930806e-11
873,TTO,2514.0,8.510527065377507e-10,7.435656734306999e-10
874,TTO,2805.0,2.060492327520083e-09,1.8002543830031282e-09
875,TTO,2903.0,1.5296416696467834e-09,1.3733661580031556e-09
876,TTO,2907.0,1.5652260961248094e-10,1.2319469322975268e-10
